q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,3,0,8,0
0,0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,2,3
0,0,0,3,0,8,0,2,0,0
0,0,0,0,8,0,2,0,2,8
0,0,0,8,0,0,0,2,0,0
0,0,0,0,0,0,2,0,0,3
0,0,3,0,0,0,0,0,8,0
0,3,0,0,0,2,0,8,0,0
3,0,8,0,2,0,8,0,3,2
0,8,0,2,0,2,0,3,0,0
8,0,0,0,2,0,3,0,8,2
0,0,0,2,0,0,0,8,0,0
0,0,0,0,0,8,0,0,0,0
0,0,2,0,8,0,0,0,2,8
0,2,0,8,0,3,0,2,0,0
2,0,2,0,3,0,2,0,2,3
0,2,0,3,0,8,0,2,0,0
2,0,0,0,8,0,2,0,0,8
0,0,0,8,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0
0,8,0,0,0,2,0,0,0,0
8,0,3,0,2,0,0,0,8,2
0,3,0,2,0,2,0,8,0,0
3,0,8,0,2,0,8,0,0,2
0,8,0,2,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,3
0,2,0,0,0,8,0,0,0,0
2,0,2,0,8,0,0,0,0,8
0,2,0,8,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,3
0,8,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,2,0,3,0
0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,2,0,0,0,0
0,0,0,0,2,0,0,0,4,2
0,0,0,2,0,3,0,4,0,0
0,0,0,0,3,0,4,0,4,3
0,0,0,3,0,0,0,4,0,0
0,0,0,0,0,0,4,0,0,2
0,0,2,0,0,0,0,0,3,0
0,2,0,0,0,4,0,3,0,0
2,0,3,0,4,0,3,0,4,4
0,3,0,4,0,4,0,4,0,0
3,0,0,0,4,0,4,0,3,4
0,0,0,4,0,0,0,3,0,0
0,0,4,0,3,0,0,0,4,3
0,4,0,3,0,4,0,4,0,0
4,0,4,0,4,0,4,0,4,4
0,4,0,4,0,3,0,4,0,0
4,0,0,0,3,0,4,0,0,3
0,0,0,3,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,3,0,0,0,4,0,0,0,0
3,0,4,0,4,0,0,0,3,4
0,4,0,4,0,4,0,3,0,0
4,0,3,0,4,0,3,0,0,4
0,3,0,4,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,2
0,4,0,0,0,3,0,0,0,0
4,0,4,0,3,0,0,0,0,3
0,4,0,3,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,2
0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,8,0,8,0
0,0,0,0,8,0,0,0,4,8
0,0,0,8,0,8,0,4,0,0
0,0,0,0,8,0,4,0,0,8
0,0,0,8,0,8,0,0,0,0
0,0,0,0,8,0,0,0,0,8
0,0,8,0,0,0,0,0,8,0
0,8,0,0,0,4,0,8,0,0
8,0,8,0,4,0,8,0,1,4
0,8,0,4,0,0,0,1,0,0
8,0,8,0,0,0,1,0,8,4
0,8,0,0,0,0,0,8,0,0
8,0,0,0,0,0,8,0,0,0
0,0,4,0,8,0,0,0,0,8
0,4,0,8,0,1,0,0,0,0
4,0,0,0,1,0,0,0,0,1
0,0,0,1,0,8,0,0,0,0
8,0,1,0,0,0,8,0,8,4
0,1,0,0,0,0,0,8,0,0
1,0,8,0,0,0,8,0,8,4
8,0,8,0,0,0,0,0,0,0
