q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,7,3
0,0,0,0,0,0,0,7,0,3
0,0,0,0,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,7,3
0,0,0,0,0,0,0,7,0,3
0,0,0,0,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,7,0,0,7,3
0,0,0,0,7,0,0,7,0,7
0,0,0,7,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,7,3
0,0,0,0,0,0,0,7,0,3
0,0,0,0,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,7,0,0,7,3
0,0,0,0,7,0,0,7,0,7
0,0,0,7,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,7,3
0,0,0,0,0,0,0,7,0,3
0,0,0,0,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,7,0,0,7,0,0,7,3
0,7,0,0,7,0,0,7,0,7
7,0,0,7,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,7,0,0,7,3
0,0,0,0,7,0,0,7,0,7
0,0,0,7,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,7,0,0,7,0,0,7,3
0,7,0,0,7,0,0,7,0,7
7,0,0,7,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,7,0,0,7,3
0,0,0,0,7,0,0,7,0,7
0,0,0,7,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,7,3
0,0,0,0,0,0,0,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,7,0,0,7,7,7,7,3
0,7,0,0,7,0,7,7,7,7
7,0,0,7,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,7,0,0,7,7,7,7,3
0,7,0,0,7,0,7,7,7,7
7,0,0,7,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,7,0,0,7,7,7,7,3
0,7,0,0,7,0,7,7,7,7
7,0,0,7,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,0,0,0,0,7,7,7,3
0,0,7,0,0,7,7,7,7,3
0,7,0,0,7,0,7,7,7,7
7,0,0,7,0,0,7,7,0,3
0,0,0,0,0,0,7,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,7,0,0,0,3
0,0,0,0,7,7,0,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,7,7,7,7,0,0,7,7
0,7,0,7,7,7,0,7,0,7
7,0,0,7,7,7,7,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,7,7,7,7,0,0,7,7
0,7,0,7,7,7,0,7,0,7
7,0,0,7,7,7,7,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,7,7,7,7,0,0,7,7
0,7,0,7,7,7,0,7,0,7
7,0,0,7,7,7,7,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,0,7,7,7,0,0,0,7
0,0,7,7,7,7,0,0,7,7
0,7,0,7,7,7,0,7,0,7
7,0,0,7,7,0,7,0,0,7
0,0,0,7,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,7,0,0,0,0,0,0,3
0,7,7,0,0,0,0,0,0,3
7,7,7,0,0,0,0,0,0,3
7,7,7,0,0,7,0,0,7,3
7,7,7,0,7,0,0,7,0,7
7,7,7,7,0,0,7,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,7,0,0,7,2
7,7,7,0,7,0,0,7,0,7
7,7,7,7,0,0,7,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,7,0,0,7,2
7,7,7,0,7,0,0,7,0,7
7,7,7,7,0,0,7,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,0,0,0,0,2
7,7,7,0,0,7,0,0,7,2
7,7,7,0,7,0,0,7,0,7
7,7,0,7,0,0,7,0,0,3
7,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,7,0,0,7,0,0,7,3
0,7,0,0,7,0,0,7,0,7
7,0,0,7,0,0,7,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,7,0,0,7,0,0,7,2
0,7,0,0,7,0,0,7,0,7
7,0,0,7,0,0,7,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,7,0,0,7,0,0,7,2
0,7,0,0,7,0,0,7,0,7
7,0,0,7,0,0,7,0,0,2
0,0,0,0,0,0,0,0,0,2
