q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,0,3
0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,9,0,0,0,0
0,0,0,0,9,0,0,0,0,9
0,0,0,0,7,0,0,0,0,7
0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,3
0,3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,9
0,9,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,3,0,0,3
0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,9,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,3,0,0,0,7
0,0,0,0,3,0,0,0,0,3
0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,9,0,0,0,0
0,0,0,0,9,0,0,0,0,9
0,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,7
3,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,0,4,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,6
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,7,7
0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,7,0,0,0
0,0,4,0,0,0,0,0,0,4
0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,7,0,0,0,0,7
0,0,0,7,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,4,0
0,0,7,0,0,0,0,4,0,0
0,7,0,0,0,0,4,0,0,4
7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,0,4,0,0,0,0,4
0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
