q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,8,8,0,8,8,8
0,0,0,8,8,8,8,8,1,8
0,0,0,8,8,8,8,1,1,8
0,0,0,8,8,8,1,1,1,8
0,0,0,8,8,8,1,1,8,8
0,0,0,8,8,8,1,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,1,8,8,1,8
8,8,8,8,1,1,8,1,1,1
8,8,8,1,1,1,1,1,1,1
8,8,8,1,1,1,1,1,1,2
8,8,8,1,1,8,1,1,8,1
8,8,8,1,8,8,1,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,2,8
8,8,8,8,8,8,8,2,8,8
8,8,8,8,8,8,2,8,8,8
8,8,0,8,8,0,8,8,0,8
8,8,1,8,8,1,8,8,1,8
8,1,1,8,1,1,8,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2
1,1,8,1,1,8,1,1,8,1
1,8,8,1,8,8,1,8,8,8
8,8,8,8,8,8,8,8,3,8
8,8,8,8,8,2,8,3,2,8
8,8,8,8,2,8,3,2,3,8
8,8,8,2,8,8,2,3,8,8
8,8,8,8,8,8,3,8,8,8
8,8,8,8,8,3,8,2,2,8
8,8,2,8,3,2,2,2,3,8
8,2,8,3,2,3,2,3,2,8
2,8,8,2,3,8,3,2,2,8
8,8,8,3,8,8,2,2,8,8
1,1,1,1,1,1,1,1,3,3
1,1,1,1,1,1,1,3,1,2
1,1,1,1,1,1,3,1,1,3
8,8,8,8,8,2,8,8,8,8
8,8,3,8,2,2,8,8,3,8
8,3,2,2,2,3,8,3,2,8
3,2,3,2,3,2,3,2,3,8
2,3,8,3,2,2,2,3,8,8
3,8,8,2,2,8,3,8,8,8
8,8,8,2,8,8,8,8,8,8
8,1,1,8,1,1,8,1,1,2
1,1,1,1,1,3,1,1,1,2
1,1,1,1,3,1,1,1,1,3
1,1,1,3,1,1,1,1,1,2
1,1,8,1,1,8,1,1,8,2
