q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,8,1,0,1,8,8
0,0,0,8,1,2,1,8,2,1
0,0,0,1,2,6,8,2,1,2
0,0,0,2,6,1,2,1,5,6
0,0,0,6,1,2,1,5,9,1
0,0,0,1,2,0,5,9,0,2
0,0,0,2,0,0,9,0,0,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,8,3
0,0,0,0,1,2,0,8,9,1
0,0,0,1,2,5,8,9,1,2
0,0,0,2,5,1,9,1,5,5
0,0,0,5,1,2,1,5,0,1
0,0,0,1,2,9,5,0,0,2
0,0,0,2,9,1,0,0,0,9
0,0,0,9,1,2,0,0,9,1
0,0,0,1,2,8,0,9,1,2
0,0,0,2,8,1,9,1,8,8
0,0,0,8,1,2,1,8,2,1
0,0,0,1,2,6,8,2,1,2
0,0,0,2,6,1,2,1,5,6
0,0,0,6,1,2,1,5,9,1
0,0,0,1,2,2,5,9,1,2
0,0,0,2,2,1,9,1,2,2
0,0,0,2,1,2,1,2,2,1
0,0,0,1,2,3,2,2,1,2
0,0,0,2,3,1,2,1,8,3
0,0,0,3,1,0,1,8,0,1
0,8,1,0,1,8,0,5,3,1
8,1,2,1,8,2,5,3,1,8
1,2,6,8,2,1,3,1,8,2
2,6,1,2,1,5,1,8,2,1
6,1,2,1,5,9,8,2,1,5
1,2,0,5,9,0,2,1,0,9
2,0,0,9,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,1,0,0,8,0,0,8,1
0,1,2,0,8,9,0,8,1,8
1,2,5,8,9,1,8,1,8,9
2,5,1,9,1,5,1,8,9,1
5,1,2,1,5,0,8,9,0,5
1,2,9,5,0,0,9,0,0,2
2,9,1,0,0,0,0,0,0,1
9,1,2,0,0,9,0,0,1,2
1,2,8,0,9,1,0,1,5,9
2,8,1,9,1,8,1,5,3,1
8,1,2,1,8,2,5,3,1,8
1,2,6,8,2,1,3,1,8,2
2,6,1,2,1,5,1,8,2,1
6,1,2,1,5,9,8,2,1,5
1,2,2,5,9,1,2,1,2,9
2,2,1,9,1,2,1,2,6,1
2,1,2,1,2,2,2,6,1,2
1,2,3,2,2,1,6,1,5,2
2,3,1,2,1,8,1,5,8,1
3,1,0,1,8,0,5,8,0,8
0,1,8,0,5,3,0,5,1,5
1,8,2,5,3,1,5,1,2,3
8,2,1,3,1,8,1,2,9,1
2,1,5,1,8,2,2,9,1,8
1,5,9,8,2,1,9,1,2,2
5,9,0,2,1,0,1,2,0,1
9,0,0,1,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,1
0,0,8,0,0,8,0,0,1,5
0,8,9,0,8,1,0,1,2,8
8,9,1,8,1,8,1,2,2,1
9,1,5,1,8,9,2,2,1,8
1,5,0,8,9,0,2,1,0,9
5,0,0,9,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,2
0,0,9,0,0,1,0,0,2,5
0,9,1,0,1,5,0,2,5,1
9,1,8,1,5,3,2,5,1,5
1,8,2,5,3,1,5,1,2,3
8,2,1,3,1,8,1,2,9,1
2,1,5,1,8,2,2,9,1,8
1,5,9,8,2,1,9,1,2,2
5,9,1,2,1,2,1,2,8,1
9,1,2,1,2,6,2,8,1,2
1,2,2,2,6,1,8,1,2,6
2,2,1,6,1,5,1,2,6,1
2,1,8,1,5,8,2,6,1,5
1,8,0,5,8,0,6,1,0,8
0,5,3,0,5,1,0,1,5,5
5,3,1,5,1,2,1,5,2,1
3,1,8,1,2,9,5,2,1,2
1,8,2,2,9,1,2,1,2,9
8,2,1,9,1,2,1,2,9,1
2,1,0,1,2,0,2,9,0,2
1,0,0,2,0,0,9,0,0,8
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2
0,0,8,0,0,1,0,0,5,6
0,8,1,0,1,2,0,5,9,1
8,1,8,1,2,2,5,9,1,2
1,8,9,2,2,1,9,1,2,2
8,9,0,2,1,0,1,2,0,1
9,0,0,1,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,3
0,0,1,0,0,2,0,0,9,1
0,1,5,0,2,5,0,9,1,2
1,5,3,2,5,1,9,1,5,5
5,3,1,5,1,2,1,5,2,1
3,1,8,1,2,9,5,2,1,2
1,8,2,2,9,1,2,1,2,9
8,2,1,9,1,2,1,2,9,1
2,1,2,1,2,8,2,9,1,2
1,2,6,2,8,1,9,1,8,8
2,6,1,8,1,2,1,8,2,1
6,1,5,1,2,6,8,2,1,2
1,5,8,2,6,1,2,1,5,6
5,8,0,6,1,0,1,5,0,1
0,5,1,0,1,5,0,8,9,1
5,1,2,1,5,2,8,9,1,5
1,2,9,5,2,1,9,1,2,2
2,9,1,2,1,2,1,2,5,1
9,1,2,1,2,9,2,5,1,2
1,2,0,2,9,0,5,1,5,9
2,0,0,9,0,0,1,5,3,1
0,0,0,0,0,0,5,3,1,8
0,0,0,0,0,0,3,1,8,2
0,0,1,0,0,5,1,8,2,1
0,1,2,0,5,9,8,2,1,5
1,2,2,5,9,1,2,1,2,9
2,2,1,9,1,2,1,2,6,1
2,1,0,1,2,0,2,6,0,2
1,0,0,2,0,0,6,0,0,2
0,0,0,0,0,0,0,0,0,1
0,0,2,0,0,9,0,0,1,8
0,2,5,0,9,1,0,1,8,9
2,5,1,9,1,5,1,8,9,1
5,1,2,1,5,2,8,9,1,5
1,2,9,5,2,1,9,1,2,2
2,9,1,2,1,2,1,2,5,1
9,1,2,1,2,9,2,5,1,2
1,2,8,2,9,1,5,1,5,9
2,8,1,9,1,8,1,5,3,1
8,1,2,1,8,2,5,3,1,8
1,2,6,8,2,1,3,1,8,2
2,6,1,2,1,5,1,8,2,1
6,1,0,1,5,0,8,2,0,5
0,1,5,0,8,9,0,2,1,8
1,5,2,8,9,1,2,1,2,9
5,2,1,9,1,2,1,2,3,1
2,1,2,1,2,5,2,3,1,2
1,2,9,2,5,1,3,1,2,5
2,9,0,5,1,5,1,2,5,1
9,0,0,1,5,3,2,5,1,5
0,0,0,5,3,1,5,1,2,3
0,0,0,3,1,8,1,2,9,1
0,0,5,1,8,2,2,9,1,8
0,5,9,8,2,1,9,1,2,2
5,9,1,2,1,2,1,2,8,1
9,1,2,1,2,6,2,8,1,2
1,2,0,2,6,0,8,1,0,6
2,0,0,6,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,5
0,0,9,0,0,1,0,0,2,8
0,9,1,0,1,8,0,2,2,1
9,1,5,1,8,9,2,2,1,8
1,5,2,8,9,1,2,1,2,9
5,2,1,9,1,2,1,2,3,1
2,1,2,1,2,5,2,3,1,2
1,2,9,2,5,1,3,1,2,5
2,9,1,5,1,5,1,2,5,1
9,1,8,1,5,3,2,5,1,5
1,8,2,5,3,1,5,1,2,3
8,2,1,3,1,8,1,2,9,1
2,1,5,1,8,2,2,9,1,8
1,5,0,8,2,0,9,1,0,2
0,8,9,0,2,1,0,1,2,2
8,9,1,2,1,2,1,2,2,1
9,1,2,1,2,3,2,2,1,2
1,2,5,2,3,1,2,1,8,3
2,5,1,3,1,2,1,8,9,1
5,1,5,1,2,5,8,9,1,2
1,5,3,2,5,1,9,1,5,5
5,3,1,5,1,2,1,5,2,1
3,1,8,1,2,9,5,2,1,2
1,8,2,2,9,1,2,1,2,9
8,2,1,9,1,2,1,2,9,1
2,1,2,1,2,8,2,9,1,2
1,2,6,2,8,1,9,1,8,8
2,6,0,8,1,0,1,8,0,1
6,0,0,1,0,0,8,0,0,2
0,0,0,0,0,0,0,0,0,6
0,0,1,0,0,2,0,0,9,1
0,1,8,0,2,2,0,9,1,2
1,8,9,2,2,1,9,1,2,2
8,9,1,2,1,2,1,2,2,1
9,1,2,1,2,3,2,2,1,2
1,2,5,2,3,1,2,1,8,3
2,5,1,3,1,2,1,8,9,1
5,1,5,1,2,5,8,9,1,2
1,5,3,2,5,1,9,1,5,5
5,3,1,5,1,2,1,5,2,1
3,1,8,1,2,9,5,2,1,2
1,8,2,2,9,1,2,1,2,9
8,2,0,9,1,0,1,2,0,1
0,2,1,0,1,2,0,2,6,1
2,1,2,1,2,2,2,6,1,2
1,2,3,2,2,1,6,1,5,2
2,3,1,2,1,8,1,5,8,1
3,1,2,1,8,9,5,8,1,8
1,2,5,8,9,1,8,1,8,9
2,5,1,9,1,5,1,8,9,1
5,1,2,1,5,2,8,9,1,5
1,2,9,5,2,1,9,1,2,2
2,9,1,2,1,2,1,2,5,1
9,1,2,1,2,9,2,5,1,2
1,2,8,2,9,1,5,1,5,9
2,8,1,9,1,8,1,5,3,1
8,1,0,1,8,0,5,3,1,8
1,0,0,8,0,0,3,1,8,2
0,0,0,0,0,0,1,8,2,1
0,0,2,0,0,9,8,2,1,5
0,2,2,0,9,1,2,1,2,9
2,2,1,9,1,2,1,2,6,1
2,1,2,1,2,2,2,6,1,2
1,2,3,2,2,1,6,1,5,2
2,3,1,2,1,8,1,5,8,1
3,1,2,1,8,9,5,8,1,8
1,2,5,8,9,1,8,1,8,9
2,5,1,9,1,5,1,8,9,1
5,1,2,1,5,2,8,9,1,5
1,2,9,5,2,1,9,1,2,2
2,9,1,2,1,2,1,2,5,1
9,1,0,1,2,0,2,5,0,2
0,1,2,0,2,6,0,8,1,2
