q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,2,1
0,0,0,1,1,1,1,2,1,1
0,0,0,1,1,1,2,1,1,1
0,0,0,1,1,0,1,1,0,1
0,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1
1,1,1,1,2,1,1,1,1,2
1,1,1,2,1,1,1,1,1,8
1,1,1,1,1,1,1,1,1,8
1,1,0,1,1,0,1,1,0,1
1,1,2,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,8
2,1,1,1,1,1,1,1,3,8
1,1,1,1,1,1,1,3,1,1
1,1,1,1,1,1,3,1,1,1
1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,2,8,1
1,1,1,1,1,1,2,8,8,1
1,1,1,1,1,1,8,8,1,1
1,1,1,1,1,1,8,1,1,1
1,1,1,1,1,3,1,1,1,1
1,1,1,1,3,1,1,1,1,3
1,1,1,3,1,1,1,1,1,1
1,1,1,1,1,2,1,1,8,1
1,1,1,1,2,8,1,8,8,2
1,1,1,2,8,8,8,8,1,8
1,1,1,8,8,1,8,1,1,8
1,1,1,8,1,1,1,1,1,1
1,1,3,1,1,1,1,1,1,1
1,3,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1
1,1,2,1,1,8,1,1,8,1
1,2,8,1,8,8,1,8,1,8
2,8,8,8,8,1,8,1,3,8
8,8,1,8,1,1,1,3,1,1
8,1,1,1,1,1,3,1,1,1
1,1,8,1,1,8,1,1,1,1
1,8,8,1,8,1,1,1,1,8
8,8,1,8,1,3,1,1,1,1
8,1,1,1,3,1,1,1,1,3
1,1,8,1,1,1,1,1,1,1
1,8,1,1,1,1,1,1,1,1
8,1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,2,1
1,1,1,1,1,1,2,2,1,1
1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,2,1,1,2,8
1,1,1,1,2,2,1,2,2,2
1,1,1,2,2,1,2,2,1,2
1,1,1,2,1,1,2,1,1,1
1,1,2,1,1,2,1,1,1,8
1,2,2,1,2,2,1,1,1,2
2,2,1,2,2,1,1,1,1,2
2,1,1,2,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,8
1,2,2,1,1,1,1,1,1,8
2,2,1,1,1,1,1,1,1,8
2,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3,1
1,1,1,1,1,1,1,3,3,1
1,1,1,1,1,1,3,3,1,1
1,1,1,1,1,1,3,1,1,8
1,1,1,1,1,3,1,1,3,1
1,1,1,1,3,3,1,3,3,3
1,1,1,3,3,1,3,3,1,3
1,1,1,3,1,1,3,1,1,1
1,1,3,1,1,3,1,1,1,1
1,3,3,1,3,3,1,1,1,3
3,3,1,3,3,1,1,1,1,3
3,1,1,3,1,1,1,1,1,1
1,3,3,1,1,1,1,1,1,1
3,3,1,1,1,1,1,1,1,1
0,1,1,0,1,1,0,0,0,1
1,1,1,1,1,1,0,0,0,1
1,1,0,1,1,0,0,0,0,1
0,0,0,0,4,4,0,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,0,4,4,0,4
0,4,4,0,4,4,0,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,1,4
4,4,4,4,4,4,4,1,1,4
4,4,4,4,4,4,1,1,6,4
4,4,4,4,4,4,1,6,4,4
4,4,4,4,4,4,6,4,4,4
4,4,0,4,4,0,4,4,0,4
4,4,4,4,4,1,4,4,1,4
4,4,4,4,1,1,4,1,4,1
4,4,4,1,1,6,1,4,1,1
4,4,4,1,6,4,4,1,4,6
4,4,4,6,4,4,1,4,4,4
4,4,1,4,4,1,4,4,2,4
4,1,1,4,1,4,4,2,1,1
1,1,6,1,4,1,2,1,1,4
1,6,4,4,1,4,1,1,4,1
6,4,4,1,4,4,1,4,4,4
4,4,1,4,4,2,4,4,4,4
4,1,4,4,2,1,4,4,4,2
1,4,1,2,1,1,4,4,4,1
4,1,4,1,1,4,4,4,4,1
1,4,4,1,4,4,4,4,4,4
4,4,2,4,4,4,4,4,4,4
4,2,1,4,4,4,4,4,4,4
2,1,1,4,4,4,4,4,4,4
1,1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,2,4
4,4,4,4,4,4,4,2,2,4
4,4,4,4,4,4,2,2,2,4
4,4,4,4,4,4,2,2,4,4
4,4,4,4,4,4,2,4,4,4
4,4,4,4,4,4,4,4,4,1
4,4,4,4,4,2,4,4,2,1
4,4,4,4,2,2,4,2,2,2
4,4,4,2,2,2,2,2,2,2
4,4,4,2,2,4,2,2,4,2
4,4,4,2,4,4,2,4,4,4
4,4,2,4,4,2,4,4,2,1
4,2,2,4,2,2,4,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,4,2,2,4,2,2,4,2
2,4,4,2,4,4,2,4,4,4
4,4,2,4,4,2,4,4,4,1
4,2,2,4,2,2,4,4,4,2
2,2,2,2,2,2,4,4,4,2
2,2,4,2,2,4,4,4,4,2
2,4,4,2,4,4,4,4,4,4
4,2,2,4,4,4,4,4,4,1
2,2,2,4,4,4,4,4,4,1
2,2,4,4,4,4,4,4,4,1
2,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,6,4
4,4,4,4,4,4,4,6,6,1
4,4,4,4,4,4,6,6,6,1
4,4,4,4,4,4,6,6,4,1
4,4,4,4,4,6,4,4,6,4
4,4,4,4,6,6,4,6,6,6
4,4,4,6,6,6,6,6,6,6
4,4,4,6,6,4,6,6,4,6
4,4,4,6,4,4,6,4,4,1
