q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,2,1,0,5,5,2
0,0,0,2,1,4,5,5,5,1
0,0,0,1,4,0,5,5,0,4
0,2,1,0,5,5,0,0,0,5
2,1,4,5,5,5,0,0,0,5
1,4,0,5,5,0,0,0,0,5
0,5,5,0,0,0,0,0,0,2
5,5,5,0,0,0,0,0,0,2
5,5,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,2
0,0,0,0,3,2,0,5,5,3
0,0,0,3,2,1,5,5,5,2
0,3,2,0,5,5,0,0,0,5
3,2,1,5,5,5,0,0,0,5
0,5,5,0,0,0,0,0,0,3
5,5,5,0,0,0,0,0,0,3
5,5,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,8,3,0,5,5,8
0,0,0,8,3,0,5,5,0,3
0,8,3,0,5,5,0,0,0,5
8,3,0,5,5,0,0,0,0,5
0,5,5,0,0,0,0,0,0,8
5,5,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
