q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,2,0
0,0,0,0,0,0,2,2,2,0
0,0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,2,0
0,0,0,0,2,2,0,2,4,2
0,0,0,2,2,2,2,4,4,2
0,0,0,2,2,0,4,4,0,2
0,0,0,2,0,0,4,0,0,0
0,0,2,0,0,2,0,0,4,0
0,2,2,0,2,4,0,4,4,2
2,2,2,2,4,4,4,4,4,4
2,2,0,4,4,0,4,4,0,4
2,0,0,4,0,0,4,0,0,0
0,0,2,0,0,4,0,0,0,0
0,2,4,0,4,4,0,0,0,4
2,4,4,4,4,4,0,0,0,4
4,4,0,4,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,5,5,0
0,0,0,0,0,0,5,5,5,0
0,0,0,0,0,0,5,5,0,0
0,0,0,0,0,0,5,0,0,0
0,0,4,0,0,0,0,0,0,0
0,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,5,0
0,0,0,0,5,5,0,5,5,2
0,0,0,5,5,5,5,5,5,2
0,0,0,5,5,0,5,5,0,2
0,0,0,5,0,0,5,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,5,0,5,5,0,5,5,2
5,5,5,5,5,5,5,5,5,4
5,5,0,5,5,0,5,5,0,4
5,0,0,5,0,0,5,0,0,0
0,0,5,0,0,5,5,0,0,0
0,5,5,0,5,5,0,0,0,4
5,5,5,5,5,5,0,0,0,4
5,5,0,5,5,0,0,0,0,4
5,0,0,5,0,0,0,0,0,0
0,0,5,5,0,0,5,0,0,0
0,5,5,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,6,0
0,0,0,0,0,0,6,6,6,0
0,0,0,0,0,0,6,6,0,0
0,0,0,0,0,5,6,0,5,0
0,0,0,0,5,5,0,5,5,6
0,0,0,5,5,5,5,5,5,6
0,0,0,5,5,0,5,5,0,6
0,0,0,0,0,6,0,0,8,0
0,0,0,0,6,6,0,8,8,6
0,0,0,6,6,6,8,8,6,6
0,0,0,6,6,6,8,6,8,6
0,0,0,6,6,0,6,8,0,6
0,0,5,6,0,5,8,0,5,0
0,5,5,0,5,5,0,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,5,5,5,5,5,5,5,6
5,5,0,5,5,0,5,5,0,8
0,0,6,0,0,8,0,0,6,0
0,6,6,0,8,8,0,6,8,8
6,6,6,8,8,6,6,8,8,8
6,6,6,8,6,8,8,8,8,6
6,6,0,6,8,0,8,8,0,8
6,0,5,8,0,5,8,0,0,0
0,5,5,0,5,5,0,0,0,6
5,5,5,5,5,5,0,0,0,8
5,5,0,5,5,0,0,0,0,8
0,0,8,0,0,6,0,0,0,0
0,8,8,0,6,8,0,0,0,6
8,8,6,6,8,8,0,0,0,8
8,6,8,8,8,8,0,0,0,8
6,8,0,8,8,0,0,0,0,8
8,0,5,8,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,8,0,0,0,0,0,0,0
6,8,8,0,0,0,0,0,0,0
8,8,8,0,0,0,0,0,5,0
8,8,0,0,0,0,0,5,5,0
8,0,0,0,0,0,5,5,5,0
0,0,5,0,0,0,0,0,0,0
