q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,0,9,9,0
0,0,0,0,0,0,9,9,0,0
0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,9,0,0,6,0
0,0,0,0,9,9,0,6,6,9
0,0,0,9,9,0,6,6,0,9
0,0,0,9,0,0,6,0,0,0
0,0,9,0,0,6,0,0,0,0
0,9,9,0,6,6,0,0,0,6
9,9,0,6,6,0,0,0,0,6
9,0,0,6,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,6,0,0,0,0,0,0,3
6,6,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,8,4,0
0,0,0,0,0,0,8,4,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,8,0,0,7,0
0,0,0,0,8,4,0,7,7,8
0,0,0,8,4,0,7,7,0,4
0,0,0,4,0,0,7,0,0,0
0,0,8,0,0,7,0,0,0,0
0,8,4,0,7,7,0,0,0,7
8,4,0,7,7,0,0,0,0,7
4,0,0,7,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,7,0,0,0,0,0,0,3
7,7,0,0,0,0,0,0,0,3
7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,8,0
0,0,0,0,0,0,4,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,4,0,0,9,0
0,0,0,0,4,8,0,9,4,4
0,0,0,4,8,0,9,4,0,8
0,0,0,8,0,0,4,0,0,0
0,0,4,0,0,9,0,0,0,0
0,4,8,0,9,4,0,0,0,9
4,8,0,9,4,0,0,0,0,4
8,0,0,4,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0
0,9,4,0,0,0,0,0,0,3
9,4,0,0,0,0,0,0,0,3
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0
0,0,0,0,2,1,0,1,2,2
0,0,0,2,1,0,1,2,0,1
0,0,0,1,0,0,2,0,0,0
0,0,2,0,0,1,0,0,0,0
0,2,1,0,1,2,0,0,0,1
2,1,0,1,2,0,0,0,0,2
1,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,3
1,2,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,4,0
0,0,0,0,0,0,2,4,0,0
0,0,0,0,0,0,0,9,8,0
0,0,0,0,0,0,9,8,0,0
0,0,0,0,0,2,0,0,6,0
0,0,0,0,2,4,0,6,7,2
0,0,0,2,4,0,6,7,0,4
0,0,0,0,0,9,0,0,8,0
0,0,0,0,9,8,0,8,9,9
0,0,0,9,8,0,8,9,0,8
0,0,0,8,0,0,9,0,0,0
0,0,2,0,0,6,0,0,0,0
0,2,4,0,6,7,0,0,0,6
2,4,0,6,7,0,0,0,0,7
0,0,9,0,0,8,0,0,0,0
0,9,8,0,8,9,0,0,0,8
9,8,0,8,9,0,0,0,0,9
8,0,0,9,0,0,0,0,0,0
0,6,7,0,0,0,0,0,0,3
6,7,0,0,0,0,0,0,0,3
0,0,8,0,0,0,0,0,0,0
0,8,9,0,0,0,0,0,0,3
8,9,0,0,0,0,0,0,0,3
9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,3
0,0,0,0,0,0,0,7,6,0
0,0,0,0,0,0,7,6,0,0
0,0,0,0,0,0,6,0,0,3
0,0,0,0,0,7,0,0,6,3
0,0,0,0,7,6,0,6,6,7
0,0,0,7,6,0,6,6,0,6
0,0,0,6,0,0,6,0,0,0
0,0,7,0,0,6,0,0,0,3
0,7,6,0,6,6,0,0,0,6
7,6,0,6,6,0,0,0,0,6
6,0,0,6,0,0,0,0,0,0
