q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,3,1,0,3,1,4
0,0,0,3,1,2,3,1,2,5
0,0,0,1,2,0,1,2,0,6
0,3,1,0,3,1,0,3,1,4
3,1,2,3,1,2,3,1,2,5
1,2,0,1,2,0,1,2,0,6
0,3,1,0,3,1,0,0,0,4
3,1,2,3,1,2,0,0,0,5
1,2,0,1,2,0,0,0,0,6
0,0,0,0,2,3,0,2,3,6
0,0,0,2,3,8,2,3,8,4
0,0,0,3,8,0,3,8,0,9
0,2,3,0,2,3,0,2,3,6
2,3,8,2,3,8,2,3,8,4
3,8,0,3,8,0,3,8,0,9
0,2,3,0,2,3,0,0,0,6
2,3,8,2,3,8,0,0,0,4
3,8,0,3,8,0,0,0,0,9
0,0,0,0,5,8,0,5,8,1
0,0,0,5,8,6,5,8,6,9
0,0,0,8,6,0,8,6,0,2
0,5,8,0,5,8,0,5,8,1
5,8,6,5,8,6,5,8,6,9
8,6,0,8,6,0,8,6,0,2
0,5,8,0,5,8,0,0,0,1
5,8,6,5,8,6,0,0,0,9
8,6,0,8,6,0,0,0,0,2
0,0,0,0,9,4,0,9,4,8
0,0,0,9,4,2,9,4,2,3
0,0,0,4,2,0,4,2,0,6
0,9,4,0,9,4,0,9,4,8
9,4,2,9,4,2,9,4,2,3
4,2,0,4,2,0,4,2,0,6
0,9,4,0,9,4,0,0,0,8
9,4,2,9,4,2,0,0,0,3
4,2,0,4,2,0,0,0,0,6
