q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,8,0,3,8,0
0,0,0,0,8,0,3,8,1,0
0,0,0,8,0,0,8,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,3,0,0,8,0
0,0,8,0,3,8,0,8,4,0
0,8,0,3,8,1,8,4,8,0
8,0,0,8,1,0,4,8,0,0
0,0,0,1,0,0,8,0,0,0
0,0,0,0,0,4,0,0,0,8
0,0,0,0,4,0,0,0,0,4
0,0,0,4,0,0,0,0,0,8
0,0,3,0,0,8,0,0,0,0
0,3,8,0,8,4,0,0,0,0
3,8,1,8,4,8,0,0,0,0
8,1,0,4,8,0,0,0,0,0
1,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0
0,0,4,0,0,0,3,0,0,0
0,4,0,0,0,0,0,0,0,8
4,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,8,0,0,0,0,0,0,0
0,8,4,0,0,0,0,0,0,0
8,4,8,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,0,3
0,0,0,3,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,1,0,0,0,8
0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,3,0,0,0
0,0,3,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,8,0,0
0,0,0,3,0,0,8,0,8,0
0,0,3,0,0,8,0,0,8,0
0,3,0,0,8,0,0,8,8,0
3,0,0,8,0,8,8,8,4,0
0,0,0,0,8,0,8,4,0,0
0,0,0,8,0,0,4,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,8,0,0,8,0,0,8,0
0,8,0,0,8,8,0,8,0,0
8,0,8,8,8,4,8,0,8,0
0,8,0,8,4,0,0,8,0,0
8,0,0,4,0,0,8,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,4,1
0,0,0,1,0,0,0,4,0,8
0,0,8,0,0,8,0,0,1,0
0,8,8,0,8,0,0,1,0,0
8,8,4,8,0,8,1,0,0,0
8,4,0,0,8,0,0,0,0,0
4,0,0,8,0,0,0,0,0,0
0,0,1,0,0,0,0,0,3,8
0,1,0,0,0,4,0,3,0,8
1,0,0,0,4,0,3,0,0,4
0,0,0,4,0,0,0,0,0,0
0,0,8,0,0,1,0,0,0,0
0,8,0,0,1,0,0,0,0,0
8,0,8,1,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0
0,0,4,0,3,0,0,0,0,3
0,4,0,3,0,0,0,0,0,8
4,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,2,0,4,3,0
0,0,0,0,2,0,4,3,3,0
0,0,0,2,0,0,3,3,0,0
0,0,0,0,0,4,0,0,0,0
0,0,2,0,4,3,0,0,3,0
0,2,0,4,3,3,0,3,0,0
2,0,0,3,3,0,3,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0
0,4,3,0,0,3,0,0,3,0
4,3,3,0,3,0,0,3,0,0
3,3,0,3,0,0,3,0,0,0
0,0,3,0,0,3,0,0,3,0
0,3,0,0,3,0,0,3,0,0
3,0,0,3,0,0,3,0,0,0
0,0,3,0,0,3,0,3,1,0
0,3,0,0,3,0,3,1,3,0
3,0,0,3,0,0,1,3,0,0
0,0,3,0,3,1,0,0,0,0
0,3,0,3,1,3,0,0,0,0
3,0,0,1,3,0,0,0,0,0
0,3,1,0,0,0,0,0,0,0
3,1,3,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,3
0,0,0,0,4,0,0,0,2,4
0,0,0,4,0,0,0,2,0,0
0,0,0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,4,0,0,0,0,0,0,3
0,4,0,0,0,2,0,0,0,3
4,0,0,0,2,0,0,0,0,2
0,1,0,0,0,0,0,0,0,3
0,0,2,0,0,0,0,0,0,3
0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,8,0
0,0,0,0,4,0,0,8,0,0
0,0,0,4,0,0,8,0,0,0
0,0,0,0,0,8,0,0,1,0
0,0,0,0,8,0,0,1,8,0
0,0,0,8,0,0,1,8,8,0
0,0,0,0,0,0,8,8,8,0
0,0,4,0,0,8,8,8,2,0
0,4,0,0,8,0,8,2,8,0
4,0,0,8,0,0,2,8,0,0
0,8,0,0,1,8,0,0,0,0
8,0,0,1,8,8,0,0,0,0
0,0,0,8,8,8,0,0,0,0
0,0,8,8,8,2,0,0,8,0
0,8,0,8,2,8,0,8,0,0
8,0,0,2,8,0,8,0,0,0
0,0,0,8,0,0,0,0,0,0
0,1,8,0,0,0,0,0,0,0
1,8,8,0,0,0,0,0,0,0
8,8,8,0,0,0,0,0,0,0
8,8,2,0,0,8,0,0,0,0
8,2,8,0,8,0,0,0,0,0
2,8,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,8
0,0,0,1,0,0,0,0,0,8
0,0,0,0,0,2,0,0,0,8
0,0,0,0,2,0,0,0,0,2
0,0,0,2,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,8
0,0,2,0,0,0,0,0,4,0
0,2,0,0,0,0,0,4,0,8
2,0,0,0,0,0,4,0,0,0
0,4,0,0,0,0,0,0,0,0
