q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0
0,0,0,0,2,1,0,1,1,2
0,0,0,2,1,0,1,1,0,1
0,0,0,1,0,0,1,0,0,0
0,0,2,0,0,1,0,0,0,0
0,2,1,0,1,1,0,0,0,1
2,1,0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,2,0,0,0,1
0,0,0,0,2,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,4,0,4,3,0
0,0,0,0,4,0,4,3,4,4
0,0,0,4,0,0,3,4,0,0
0,0,0,0,0,4,0,0,4,0
0,0,4,0,4,3,0,4,4,4
0,4,0,4,3,4,4,4,0,3
4,0,0,3,4,0,4,0,0,4
0,0,0,4,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,3,0,4,4,0,0,0,4
4,3,4,4,4,0,0,0,0,4
3,4,0,4,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0
0,4,4,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,3,0,4
0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,3,0,0,0,4
0,0,0,0,3,0,0,0,0,3
0,0,0,3,0,0,0,0,0,4
0,0,3,0,0,0,0,0,0,4
0,3,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,8,0
0,0,0,0,0,0,3,8,8,0
0,0,0,0,0,0,8,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,2,0,0,0,0
0,0,0,2,0,0,0,0,0,4
0,0,0,0,0,3,0,0,8,0
0,0,0,0,3,8,0,8,0,3
0,0,0,3,8,8,8,0,0,8
0,0,0,8,8,0,0,0,0,8
0,0,0,8,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,4
0,2,0,0,0,0,0,0,0,4
0,0,3,0,0,8,0,0,0,0
0,3,8,0,8,0,0,0,0,8
3,8,8,8,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,2,0
0,0,0,0,0,0,4,2,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,0,4,2,0,0,4,4
0,0,0,4,2,0,0,4,4,2
0,0,0,2,0,0,4,4,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,3,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
0,4,2,0,0,4,0,0,0,0
4,2,0,0,4,4,0,0,0,4
2,0,0,4,4,0,0,0,0,4
0,0,3,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,0,0
0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,2,0,4
0,0,0,0,0,0,2,0,0,4
0,0,0,0,4,4,0,0,2,4
0,0,0,4,4,4,0,2,4,4
0,0,0,4,4,0,2,4,0,4
0,0,0,4,0,0,4,0,0,0
0,0,0,0,0,2,0,0,0,4
0,4,4,0,0,2,0,0,0,0
4,4,4,0,2,4,0,0,4,2
4,4,0,2,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,2,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,2,4,0,0,4,0,0,0,0
2,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,1,3,0
0,0,0,0,1,1,1,3,1,1
0,0,0,1,1,0,3,1,0,1
0,0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,3,0,0,1
0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,3,0,0,0,1
0,1,1,1,3,1,0,0,0,3
1,1,0,3,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,1
0,0,0,3,0,0,0,0,0,1
0,1,3,0,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
