q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,8,8,0,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,6,3
8,8,8,8,8,8,8,6,6,3
8,8,8,8,8,8,6,6,6,3
8,8,8,8,8,8,6,6,8,3
8,8,8,8,8,8,6,8,8,3
8,8,0,8,8,0,8,8,0,8
8,8,8,8,8,6,8,8,6,3
8,8,8,8,6,6,8,6,8,6
8,8,8,6,6,6,6,8,8,6
8,8,8,6,6,6,8,8,6,6
8,8,8,6,6,8,8,6,8,6
8,8,8,6,8,8,6,8,8,3
8,8,6,8,8,6,8,8,6,3
8,6,6,8,6,8,8,6,8,6
6,6,6,6,8,8,6,8,8,4
6,6,6,8,8,6,8,8,6,4
6,6,8,8,6,8,8,6,8,6
6,8,8,6,8,8,6,8,8,3
8,8,8,8,6,6,8,6,6,6
8,8,8,6,6,8,6,6,8,6
8,6,8,8,6,8,8,6,8,6
6,8,8,6,8,8,6,8,8,4
8,8,6,8,8,6,8,8,6,4
8,8,6,8,8,6,8,8,8,3
8,6,6,8,6,6,8,8,8,6
6,6,8,6,6,8,8,8,8,6
6,8,8,6,8,8,8,8,8,3
8,6,8,8,6,8,8,6,6,6
6,8,8,6,8,8,6,6,6,4
8,8,6,8,8,6,6,6,6,4
8,6,8,8,6,8,6,6,8,6
8,8,6,8,8,8,8,8,8,3
8,6,6,8,8,8,8,8,8,3
6,6,8,8,8,8,8,8,8,3
6,8,8,8,8,8,8,8,8,3
8,6,8,8,6,6,8,8,8,6
6,8,8,6,6,6,8,8,8,6
8,8,6,6,6,6,8,8,8,6
8,6,8,6,6,8,8,8,8,6
6,6,6,8,8,8,8,8,8,3
8,8,8,6,6,6,6,6,6,6
8,6,6,8,6,6,8,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,8,6,6,8,6,6,8,6
6,6,6,6,6,6,8,8,8,6
0,8,8,0,8,8,0,0,0,8
8,8,8,8,8,8,0,0,0,8
8,8,6,8,8,8,0,0,0,3
8,6,6,8,8,8,0,0,0,3
6,6,6,8,8,8,0,0,0,3
6,6,8,8,8,8,0,0,0,3
6,8,8,8,8,8,0,0,0,3
8,8,0,8,8,0,0,0,0,8
0,0,0,8,8,8,8,8,6,3
0,0,0,8,8,8,8,6,6,3
0,0,0,8,8,8,6,6,6,3
0,0,0,8,8,8,6,6,8,3
0,0,0,8,8,8,6,8,8,3
8,8,8,6,6,6,6,8,6,6
8,8,8,6,6,6,8,6,6,6
6,6,6,6,8,6,6,8,6,4
6,6,6,8,6,6,8,6,6,6
6,8,6,6,8,6,6,6,6,4
8,6,6,8,6,6,6,6,6,6
6,8,6,6,6,6,8,8,8,6
8,6,6,6,6,6,8,8,8,6
8,8,0,8,8,0,6,8,0,3
8,8,8,6,6,6,8,8,8,6
8,8,0,6,8,0,6,8,0,3
6,6,6,8,8,8,8,8,8,4
6,8,0,6,8,0,6,8,0,3
8,8,8,8,8,8,8,8,8,4
8,8,8,8,8,8,6,6,6,4
6,8,0,6,8,0,8,8,0,3
6,8,0,8,8,0,0,0,0,3
