q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,2,2,0,2,1,2
0,0,0,2,2,2,2,1,8,2
0,0,0,2,2,0,1,8,0,2
0,2,2,0,2,1,0,2,8,2
2,2,2,2,1,8,2,8,8,5
2,2,0,1,8,0,8,8,0,5
0,2,1,0,2,8,0,0,0,2
2,1,8,2,8,8,0,0,0,5
1,8,0,8,8,0,0,0,0,5
0,0,0,0,1,1,0,8,1,1
0,0,0,1,1,1,8,1,3,1
0,0,0,1,1,0,1,3,0,1
0,1,1,0,8,1,0,8,2,5
1,1,1,8,1,3,8,2,2,1
1,1,0,1,3,0,2,2,0,5
0,8,1,0,8,2,0,0,0,5
8,1,3,8,2,2,0,0,0,5
1,3,0,2,2,0,0,0,0,5
0,0,0,0,2,2,0,8,8,2
0,0,0,2,2,2,8,8,2,2
0,0,0,2,2,0,8,2,0,2
0,2,2,0,8,8,0,2,2,5
2,2,2,8,8,2,2,2,2,5
2,2,0,8,2,0,2,2,0,2
0,8,8,0,2,2,0,0,0,2
8,8,2,2,2,2,0,0,0,2
8,2,0,2,2,0,0,0,0,2
0,0,0,0,3,3,0,4,4,5
0,0,0,3,3,8,4,4,4,5
0,0,0,3,8,0,4,4,0,5
0,3,3,0,4,4,0,8,1,4
3,3,8,4,4,4,8,1,1,4
3,8,0,4,4,0,1,1,0,4
0,4,4,0,8,1,0,0,0,5
4,4,4,8,1,1,0,0,0,5
4,4,0,1,1,0,0,0,0,5
