q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,1,1,0,1,8,1
0,0,0,1,1,0,1,8,0,1
0,0,0,1,0,1,8,0,1,0
0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,1,1,0,1
0,0,0,1,0,1,1,0,1,0
0,0,0,0,1,1,0,1,8,1
0,0,0,1,1,0,1,8,0,1
0,1,1,0,1,8,0,0,0,1
1,1,0,1,8,0,0,0,0,8
1,0,1,8,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,0,8
1,0,1,1,0,1,0,0,0,0
0,1,1,0,1,8,0,0,0,1
1,1,0,1,8,0,0,0,0,8
0,1,8,0,0,0,0,1,1,0
1,8,0,0,0,0,1,1,0,0
8,0,1,0,0,0,1,0,1,0
0,1,1,0,0,0,0,1,1,0
1,1,0,0,0,0,1,1,0,0
1,0,1,0,0,0,1,0,1,0
0,1,8,0,0,0,0,1,1,0
1,8,0,0,0,0,1,1,0,0
0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,1,1,0,1
0,0,0,1,0,1,1,0,1,0
0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,1,1,0,1
0,0,0,1,0,1,1,0,1,0
0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,1,1,0,1
0,1,1,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,0,1
1,0,1,1,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,0,1
1,0,1,1,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,0,8
0,1,1,0,0,0,0,6,1,0
1,1,0,0,0,0,6,1,0,0
1,0,1,0,0,0,1,0,1,0
0,1,1,0,0,0,0,1,1,0
1,1,0,0,0,0,1,1,0,0
1,0,1,0,0,0,1,0,6,0
0,1,1,0,0,0,0,6,1,0
1,1,0,0,0,0,6,1,0,0
0,0,0,0,6,1,0,1,1,6
0,0,0,6,1,0,1,1,0,1
0,0,0,1,0,1,1,0,1,0
0,0,0,0,1,1,0,1,1,6
0,0,0,1,1,0,1,1,0,1
0,0,0,1,0,6,1,0,1,0
0,0,0,0,6,1,0,1,8,6
0,0,0,6,1,0,1,8,0,1
0,6,1,0,1,1,0,0,0,1
6,1,0,1,1,0,0,0,0,1
1,0,1,1,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,1
1,1,0,1,1,0,0,0,0,1
1,0,6,1,0,1,0,0,0,0
0,6,1,0,1,8,0,0,0,1
6,1,0,1,8,0,0,0,0,8
