q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,0,0,8,0
0,0,0,0,8,0,0,8,0,8
0,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,8,8,0
0,0,8,0,0,8,8,8,8,0
0,8,0,0,8,0,8,8,8,8
8,0,0,8,0,0,8,8,8,0
0,0,0,0,0,0,8,8,0,0
0,0,0,0,8,8,0,0,0,8
0,0,8,8,8,8,0,0,8,8
0,8,0,8,8,8,0,8,2,8
8,0,0,8,8,8,8,2,2,8
0,0,8,8,8,8,2,2,8,8
0,8,0,8,8,8,2,8,0,8
8,0,0,8,8,8,8,0,0,8
0,8,0,8,8,8,0,8,0,8
0,0,0,8,8,0,0,0,0,8
0,8,8,0,0,0,0,0,0,0
8,8,8,0,0,8,0,0,8,0
8,8,8,0,8,2,0,8,2,8
8,8,8,8,2,2,8,2,2,2
8,8,8,2,2,8,2,2,8,2
8,8,8,2,8,0,2,8,0,8
8,8,8,8,0,0,8,0,0,2
8,8,8,0,0,8,0,0,8,2
8,8,8,0,8,0,0,8,0,8
8,8,8,8,0,0,8,0,0,0
8,8,0,0,0,0,0,0,0,0
0,8,2,0,8,2,8,8,8,8
8,2,2,8,2,2,8,8,8,2
2,2,8,2,2,8,8,8,8,2
2,8,0,2,8,0,8,8,8,8
8,0,0,8,0,0,8,8,8,2
0,0,8,0,0,8,8,8,8,2
0,8,2,8,8,8,0,8,0,8
8,2,2,8,8,8,8,0,0,8
2,2,8,8,8,8,0,0,8,8
2,8,0,8,8,8,0,8,0,8
0,8,0,8,8,8,0,8,1,8
8,0,0,8,8,8,8,1,1,8
0,0,8,8,8,8,1,1,8,8
0,8,0,8,8,8,1,8,0,8
8,8,8,0,8,1,0,8,1,8
8,8,8,8,1,1,8,1,1,1
8,8,8,1,1,8,1,1,8,1
8,8,8,1,8,0,1,8,0,8
0,8,1,0,8,1,8,8,8,8
8,1,1,8,1,1,8,8,8,1
1,1,8,1,1,8,8,8,8,1
1,8,0,1,8,0,8,8,8,8
0,8,1,8,8,8,0,8,0,8
8,1,1,8,8,8,8,0,0,8
1,1,8,8,8,8,0,0,8,8
1,8,0,8,8,8,0,8,0,8
0,8,0,8,8,8,0,8,3,8
8,0,0,8,8,8,8,3,3,8
0,0,8,8,8,8,3,3,8,8
0,8,0,8,8,8,3,8,0,8
8,8,8,0,8,3,0,8,3,8
8,8,8,8,3,3,8,3,3,3
8,8,8,3,3,8,3,3,8,3
8,8,8,3,8,0,3,8,0,8
8,8,8,8,0,0,8,0,0,3
8,8,8,0,0,8,0,0,8,3
0,8,3,0,8,3,8,8,8,8
8,3,3,8,3,3,8,8,8,3
3,3,8,3,3,8,8,8,8,3
3,8,0,3,8,0,8,8,8,8
8,0,0,8,0,0,8,8,8,3
0,0,8,0,0,8,8,8,8,3
0,8,3,8,8,8,0,8,0,8
8,3,3,8,8,8,8,0,0,8
3,3,8,8,8,8,0,0,8,8
3,8,0,8,8,8,0,8,0,8
0,0,8,0,0,8,0,0,0,0
0,8,0,0,8,0,0,0,0,8
8,0,0,8,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,1,1,1,1,0
0,1,0,0,1,0,1,1,1,1
1,0,0,1,0,0,1,1,1,0
0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,1,0,0,0,1
0,0,1,1,1,1,0,0,1,1
0,1,0,1,1,1,0,1,2,1
1,0,0,1,1,1,1,2,2,1
0,0,1,1,1,1,2,2,1,1
0,1,0,1,1,1,2,1,0,1
1,0,0,1,1,1,1,0,0,1
0,1,0,1,1,1,0,1,0,1
0,1,0,1,1,1,0,1,4,1
1,0,0,1,1,1,1,4,4,1
0,0,1,1,1,1,4,4,1,1
0,1,0,1,1,1,4,1,0,1
0,0,0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,1,0
1,1,1,0,1,2,0,1,2,1
1,1,1,1,2,2,1,2,2,2
1,1,1,2,2,1,2,2,1,2
1,1,1,2,1,0,2,1,0,1
1,1,1,1,0,0,1,0,0,0
1,1,1,0,1,0,0,1,0,1
1,1,1,0,1,4,0,1,4,1
1,1,1,1,4,4,1,4,4,4
1,1,1,4,4,1,4,4,1,4
1,1,1,4,1,0,4,1,0,1
1,1,0,0,0,0,0,0,0,0
0,1,2,0,1,2,1,1,1,1
1,2,2,1,2,2,1,1,1,2
2,2,1,2,2,1,1,1,1,2
2,1,0,2,1,0,1,1,1,1
0,1,4,0,1,4,1,1,1,1
1,4,4,1,4,4,1,1,1,4
4,4,1,4,4,1,1,1,1,4
4,1,0,4,1,0,1,1,1,1
0,1,2,1,1,1,0,1,0,1
1,2,2,1,1,1,1,0,0,1
2,2,1,1,1,1,0,0,1,1
2,1,0,1,1,1,0,1,0,1
0,1,4,1,1,1,0,1,0,1
1,4,4,1,1,1,1,0,0,1
4,4,1,1,1,1,0,0,1,1
4,1,0,1,1,1,0,1,0,1
1,1,1,1,0,0,1,0,0,2
1,1,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,1,1,2
0,0,1,0,0,1,1,1,1,2
0,1,0,1,1,1,0,1,9,1
1,0,0,1,1,1,1,9,9,1
0,0,1,1,1,1,9,9,1,1
0,1,0,1,1,1,9,1,0,1
0,0,0,1,1,0,9,9,0,1
1,1,1,0,1,9,0,1,9,1
1,1,1,1,9,9,1,9,9,9
1,1,1,9,9,1,9,9,1,9
1,1,1,9,1,0,9,1,0,1
1,1,1,1,0,0,1,0,0,9
1,1,1,0,0,1,0,0,1,9
1,1,0,9,9,0,9,9,0,9
0,1,9,0,1,9,1,1,1,1
1,9,9,1,9,9,1,1,1,9
9,9,1,9,9,1,1,1,1,9
9,1,0,9,1,0,1,1,1,1
1,0,0,1,0,0,1,1,1,9
0,0,1,0,0,1,1,1,1,9
9,9,0,9,9,0,1,1,0,9
0,1,9,1,1,1,0,1,0,1
1,9,9,1,1,1,1,0,0,1
9,9,1,1,1,1,0,0,1,1
9,1,0,1,1,1,0,1,0,1
0,1,0,1,1,1,0,1,8,1
1,0,0,1,1,1,1,8,8,1
0,0,1,1,1,1,8,8,1,1
0,1,9,1,1,1,8,1,0,1
9,9,0,1,1,0,0,0,0,1
1,1,1,0,1,8,0,1,8,1
1,1,1,1,8,8,1,8,8,8
1,1,1,8,8,1,8,8,1,8
1,1,1,8,1,0,8,1,0,1
0,1,8,0,1,8,1,1,1,1
1,8,8,1,8,8,1,1,1,8
8,8,1,8,8,1,1,1,1,8
8,1,0,8,1,0,1,1,1,1
0,1,8,1,1,1,0,1,0,1
1,8,8,1,1,1,1,0,0,1
8,8,1,1,1,1,0,0,1,1
8,1,0,1,1,1,0,1,0,1
1,1,1,1,0,0,1,0,0,8
1,1,1,0,0,1,0,0,1,8
1,0,0,1,0,0,1,1,1,8
0,0,1,0,0,1,1,1,1,8
0,1,0,1,1,1,8,1,0,1
0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,4,0,0,4,0
0,0,0,0,4,0,0,4,0,4
0,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,0,0,0,0,4,4,0,0
0,0,0,0,4,4,0,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,3,4
4,0,0,4,4,4,4,3,3,4
0,0,4,4,4,4,3,3,4,4
0,4,0,4,4,4,3,4,0,4
4,0,0,4,4,4,4,0,0,4
0,4,0,4,4,4,0,4,0,4
0,4,0,4,4,4,0,4,2,4
4,0,0,4,4,4,4,2,2,4
0,0,4,4,4,4,2,2,4,4
0,4,0,4,4,4,2,4,0,4
0,0,0,4,4,0,0,0,0,4
0,4,4,0,0,0,0,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,3,0,4,3,4
4,4,4,4,3,3,4,3,3,3
4,4,4,3,3,4,3,3,4,3
4,4,4,3,4,0,3,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,4,0,0,4,0,4
4,4,4,0,4,2,0,4,2,4
4,4,4,4,2,2,4,2,2,2
4,4,4,2,2,4,2,2,4,2
4,4,4,2,4,0,2,4,0,4
4,4,0,0,0,0,0,0,0,0
0,4,3,0,4,3,4,4,4,4
4,3,3,4,3,3,4,4,4,3
3,3,4,3,3,4,4,4,4,3
3,4,0,3,4,0,4,4,4,4
0,4,2,0,4,2,4,4,4,4
4,2,2,4,2,2,4,4,4,2
2,2,4,2,2,4,4,4,4,2
2,4,0,2,4,0,4,4,4,4
0,4,3,4,4,4,0,4,0,4
4,3,3,4,4,4,4,0,0,4
3,3,4,4,4,4,0,0,4,4
3,4,0,4,4,4,0,4,0,4
0,4,2,4,4,4,0,4,0,4
4,2,2,4,4,4,4,0,0,4
2,2,4,4,4,4,0,0,4,4
2,4,0,4,4,4,0,4,0,4
4,4,4,4,0,0,4,0,0,3
4,4,4,0,0,4,0,0,4,3
4,0,0,4,0,0,4,4,4,3
0,0,4,0,0,4,4,4,4,3
4,4,4,4,0,0,4,0,0,2
4,4,4,0,0,4,0,0,4,2
4,0,0,4,0,0,4,4,4,2
0,0,4,0,0,4,4,4,4,2
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
