q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,2,2,0
0,0,0,0,0,0,2,2,1,0
0,0,0,0,0,0,2,1,2,0
0,0,0,0,0,0,1,2,1,0
0,0,0,0,0,0,2,1,2,0
0,0,0,0,0,0,1,2,1,0
0,0,0,0,0,0,2,1,1,0
0,0,0,0,0,0,1,1,2,0
0,0,0,0,0,0,1,2,1,0
0,0,0,0,0,0,2,1,0,0
0,0,0,0,2,2,0,0,0,2
0,0,0,2,2,1,0,0,0,2
0,0,0,2,1,2,0,0,0,1
0,0,0,1,2,1,0,0,0,2
0,0,0,2,1,2,0,0,0,1
0,0,0,1,2,1,0,0,0,2
0,0,0,2,1,1,0,0,0,1
0,0,0,1,1,2,0,0,0,1
0,0,0,1,2,1,0,0,0,2
0,0,0,2,1,0,0,0,0,1
0,2,2,0,0,0,0,8,8,0
2,2,1,0,0,0,8,8,3,0
2,1,2,0,0,0,8,3,0,0
1,2,1,0,0,0,3,0,0,0
2,1,2,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
0,0,0,0,8,8,0,0,0,8
0,0,0,8,8,3,0,0,0,8
0,0,0,8,3,0,0,0,0,3
0,0,0,3,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,3
0,8,8,0,0,0,0,0,0,0
8,8,3,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0
