q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,5,0,0,0,0
0,0,0,0,5,0,0,0,0,5
0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,5,0,0,0,0,0,0,1
0,5,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,1,0,1,0,1
0,0,0,1,1,1,1,0,1,1
0,0,0,1,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,5,0,0,1
0,0,1,0,0,1,0,0,1,0
0,1,1,0,1,0,0,1,0,1
1,1,1,1,0,1,1,0,1,0
1,1,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,5,1
0,0,0,5,0,0,0,0,0,1
0,1,0,0,1,0,0,1,1,1
1,0,1,1,0,1,1,1,1,0
0,1,0,0,1,0,1,1,0,1
0,0,0,0,0,5,0,0,0,1
0,0,5,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0,1
1,0,1,1,1,1,0,0,0,1
0,1,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0,3
0,0,5,0,0,0,0,0,0,3
0,5,0,0,0,0,0,0,0,3
5,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,5,0,0,3
0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,3,3,0
0,0,0,0,0,0,3,3,3,0
0,0,0,0,0,0,3,3,0,0
0,0,0,0,0,0,3,0,0,0
0,0,0,5,0,0,0,0,0,3
0,0,0,0,0,3,0,0,3,0
0,0,0,0,3,3,0,3,0,3
0,0,0,3,3,3,3,0,3,3
0,0,0,3,3,0,0,3,0,3
0,0,0,3,0,0,3,0,0,0
0,0,3,0,0,3,0,0,3,0
0,3,3,0,3,0,0,3,3,3
3,3,3,3,0,3,3,3,3,0
3,3,0,0,3,0,3,3,0,3
3,0,0,3,0,0,3,0,0,0
0,0,3,0,0,3,0,0,0,0
0,3,0,0,3,3,0,0,0,3
3,0,3,3,3,3,0,0,0,3
0,3,0,3,3,0,0,0,0,3
3,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,3
0,0,3,0,0,0,0,0,0,0
0,3,3,0,0,0,0,0,0,0
3,3,3,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,0,3
0,0,0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,0,0,4
0,0,5,0,0,0,0,0,0,4
0,5,0,0,0,0,0,0,0,4
5,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,4,0,0,4,0
0,0,0,0,4,4,0,4,0,4
0,0,0,4,4,4,4,0,0,4
0,0,0,4,4,4,0,0,4,4
0,0,0,4,4,0,0,4,0,4
0,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,5,4
0,0,4,0,0,4,0,0,4,0
0,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,5,0,0,0,4
0,0,0,0,0,0,5,0,0,4
0,4,0,0,4,0,0,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,0,4
0,0,0,5,0,0,0,0,0,4
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,4,0,0,0,4
4,0,0,4,4,4,0,0,0,4
0,0,4,4,4,4,0,0,0,4
0,4,0,4,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0
0,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,4
