q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,4,4,2,0,0,3,7,2,8
0,0,0,0,0,0,0,0,0,0,0,8,1,2,1,0,4,4,2,4,0,3,7,2,4,7
0,0,0,0,0,0,0,0,0,0,8,1,2,1,4,4,4,2,4,8,3,7,2,4,8,7
0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,4,2,4,8,0,7,2,4,8,0,4
0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,2,4,8,0,0,2,4,8,0,0,8
0,0,0,0,0,0,0,8,1,2,0,0,4,4,2,0,0,3,7,2,0,0,2,7,7,2
0,0,0,0,0,0,8,1,2,1,0,4,4,2,4,0,3,7,2,4,0,2,7,7,8,7
0,0,0,0,0,8,1,2,1,4,4,4,2,4,8,3,7,2,4,8,2,7,7,8,7,7
0,0,0,0,0,1,2,1,4,0,4,2,4,8,0,7,2,4,8,0,7,7,8,7,0,8
0,0,0,0,0,2,1,4,0,0,2,4,8,0,0,2,4,8,0,0,7,8,7,0,0,7
0,0,8,1,2,0,0,4,4,2,0,0,3,7,2,0,0,2,7,7,0,0,8,7,7,3
0,8,1,2,1,0,4,4,2,4,0,3,7,2,4,0,2,7,7,8,0,8,7,7,4,7
8,1,2,1,4,4,4,2,4,8,3,7,2,4,8,2,7,7,8,7,8,7,7,4,8,2
1,2,1,4,0,4,2,4,8,0,7,2,4,8,0,7,7,8,7,0,7,7,4,8,0,4
2,1,4,0,0,2,4,8,0,0,2,4,8,0,0,7,8,7,0,0,7,4,8,0,0,8
0,0,4,4,2,0,0,3,7,2,0,0,2,7,7,0,0,8,7,7,0,0,0,0,0,4
0,4,4,2,4,0,3,7,2,4,0,2,7,7,8,0,8,7,7,4,0,0,0,0,0,4
4,4,2,4,8,3,7,2,4,8,2,7,7,8,7,8,7,7,4,8,0,0,0,0,0,2
4,2,4,8,0,7,2,4,8,0,7,7,8,7,0,7,7,4,8,0,0,0,0,0,0,4
2,4,8,0,0,2,4,8,0,0,7,8,7,0,0,7,4,8,0,0,0,0,0,0,0,8
0,0,3,7,2,0,0,2,7,7,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,8
0,3,7,2,4,0,2,7,7,8,0,8,7,7,4,0,0,0,0,0,0,0,0,0,0,1
3,7,2,4,8,2,7,7,8,7,8,7,7,4,8,0,0,0,0,0,0,0,0,0,0,2
7,2,4,8,0,7,7,8,7,0,7,7,4,8,0,0,0,0,0,0,0,0,0,0,0,1
2,4,8,0,0,7,8,7,0,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,1,8,2,0,0,2,7,8,8
0,0,0,0,0,0,0,0,0,0,0,7,3,3,1,0,1,8,2,4,0,2,7,8,7,1
0,0,0,0,0,0,0,0,0,0,7,3,3,1,2,1,8,2,4,1,2,7,8,7,2,7
0,0,0,0,0,0,0,0,0,0,3,3,1,2,0,8,2,4,1,0,7,8,7,2,0,7
0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,2,4,1,0,0,8,7,2,0,0,1
0,0,0,0,0,0,0,7,3,3,0,0,1,8,2,0,0,2,7,8,0,0,7,7,4,7
0,0,0,0,0,0,7,3,3,1,0,1,8,2,4,0,2,7,8,7,0,7,7,4,1,7
0,0,0,0,0,7,3,3,1,2,1,8,2,4,1,2,7,8,7,2,7,7,4,1,8,4
0,0,0,0,0,3,3,1,2,0,8,2,4,1,0,7,8,7,2,0,7,4,1,8,0,1
0,0,0,0,0,3,1,2,0,0,2,4,1,0,0,8,7,2,0,0,4,1,8,0,0,8
0,0,7,3,3,0,0,1,8,2,0,0,2,7,8,0,0,7,7,4,0,0,8,1,7,2
0,7,3,3,1,0,1,8,2,4,0,2,7,8,7,0,7,7,4,1,0,8,1,7,7,7
7,3,3,1,2,1,8,2,4,1,2,7,8,7,2,7,7,4,1,8,8,1,7,7,1,8
3,3,1,2,0,8,2,4,1,0,7,8,7,2,0,7,4,1,8,0,1,7,7,1,0,7
3,1,2,0,0,2,4,1,0,0,8,7,2,0,0,4,1,8,0,0,7,7,1,0,0,2
0,0,1,8,2,0,0,2,7,8,0,0,7,7,4,0,0,8,1,7,0,0,0,0,0,1
0,1,8,2,4,0,2,7,8,7,0,7,7,4,1,0,8,1,7,7,0,0,0,0,0,8
1,8,2,4,1,2,7,8,7,2,7,7,4,1,8,8,1,7,7,1,0,0,0,0,0,2
8,2,4,1,0,7,8,7,2,0,7,4,1,8,0,1,7,7,1,0,0,0,0,0,0,4
2,4,1,0,0,8,7,2,0,0,4,1,8,0,0,7,7,1,0,0,0,0,0,0,0,1
0,0,2,7,8,0,0,7,7,4,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,7
0,2,7,8,7,0,7,7,4,1,0,8,1,7,7,0,0,0,0,0,0,0,0,0,0,3
