q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,4,1,0,0,5,1,1,1
0,0,0,0,0,0,0,0,0,0,0,6,1,1,5,0,1,4,1,1,0,5,1,1,1,1
0,0,0,0,0,0,0,0,0,0,6,1,1,5,1,1,4,1,1,9,5,1,1,1,4,1
0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,4,1,1,9,1,1,1,1,4,1,1
0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,9,1,1,1,1,4,1,1,1
0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,9,1,1,1,1,4,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9,1,1,1,1,4,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,6,1,1,0,0,1,4,1,0,0,5,1,1,0,0,7,2,2,1
0,0,0,0,0,0,6,1,1,5,0,1,4,1,1,0,5,1,1,1,0,7,2,2,2,1
0,0,0,0,0,6,1,1,5,1,1,4,1,1,9,5,1,1,1,4,7,2,2,2,2,1
0,0,0,0,0,1,1,5,1,1,4,1,1,9,1,1,1,1,4,1,2,2,2,2,6,1
0,0,0,0,0,1,5,1,1,1,1,1,9,1,1,1,1,4,1,1,2,2,2,6,2,1
0,0,0,0,0,5,1,1,1,1,1,9,1,1,1,1,4,1,1,1,2,2,6,2,9,1
0,0,0,0,0,1,1,1,1,1,9,1,1,1,1,4,1,1,1,1,2,6,2,9,2,1
0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,6,2,9,2,2,1
0,0,0,0,0,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,9,2,2,4,1
0,0,0,0,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,9,2,2,4,2,1
0,0,0,0,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,4,2,4,1
0,0,0,0,0,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,4,2,4,2,1
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,1
0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,2,4,2,2,0,1
0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,4,2,2,0,0,1
0,0,6,1,1,0,0,1,4,1,0,0,5,1,1,0,0,7,2,2,0,0,2,2,9,1
0,6,1,1,5,0,1,4,1,1,0,5,1,1,1,0,7,2,2,2,0,2,2,9,2,1
6,1,1,5,1,1,4,1,1,9,5,1,1,1,4,7,2,2,2,2,2,2,9,2,1,1
1,1,5,1,1,4,1,1,9,1,1,1,1,4,1,2,2,2,2,6,2,9,2,1,2,1
1,5,1,1,1,1,1,9,1,1,1,1,4,1,1,2,2,2,6,2,9,2,1,2,2,1
5,1,1,1,1,1,9,1,1,1,1,4,1,1,1,2,2,6,2,9,2,1,2,2,2,1
1,1,1,1,1,9,1,1,1,1,4,1,1,1,1,2,6,2,9,2,1,2,2,2,3,1
1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,6,2,9,2,2,2,2,2,3,2,1
1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,9,2,2,4,2,2,3,2,2,1
1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,9,2,2,4,2,2,3,2,2,8,1
1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,4,2,4,3,2,2,8,2,1
1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,4,2,4,2,2,2,8,2,7,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,2,8,2,7,2,1
1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,2,4,2,2,0,8,2,7,2,0,1
1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,4,2,2,0,0,2,7,2,0,0,1
0,0,1,4,1,0,0,5,1,1,0,0,7,2,2,0,0,2,2,9,0,0,2,5,2,2
0,1,4,1,1,0,5,1,1,1,0,7,2,2,2,0,2,2,9,2,0,2,5,2,2,2
1,4,1,1,9,5,1,1,1,4,7,2,2,2,2,2,2,9,2,1,2,5,2,2,5,2
4,1,1,9,1,1,1,1,4,1,2,2,2,2,6,2,9,2,1,2,5,2,2,5,6,2
1,1,9,1,1,1,1,4,1,1,2,2,2,6,2,9,2,1,2,2,2,2,5,6,6,2
1,9,1,1,1,1,4,1,1,1,2,2,6,2,9,2,1,2,2,2,2,5,6,6,2,2
9,1,1,1,1,4,1,1,1,1,2,6,2,9,2,1,2,2,2,3,5,6,6,2,2,2
1,1,1,1,5,1,1,1,1,1,6,2,9,2,2,2,2,2,3,2,6,6,2,2,2,2
1,1,1,5,1,1,1,1,1,1,2,9,2,2,4,2,2,3,2,2,6,2,2,2,3,2
1,1,5,1,1,1,1,1,1,1,9,2,2,4,2,2,3,2,2,8,2,2,2,3,2,2
1,5,1,1,1,1,1,1,1,1,2,2,4,2,4,3,2,2,8,2,2,2,3,2,5,2
5,1,1,1,1,1,1,1,1,1,2,4,2,4,2,2,2,8,2,7,2,3,2,5,2,2
1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,2,8,2,7,2,3,2,5,2,2,2
1,1,1,1,0,1,1,1,1,0,2,4,2,2,0,8,2,7,2,0,2,5,2,2,0,2
1,1,1,0,0,1,1,1,0,0,4,2,2,0,0,2,7,2,0,0,5,2,2,0,0,2
0,0,5,1,1,0,0,7,2,2,0,0,2,2,9,0,0,2,5,2,0,0,2,2,2,2
0,5,1,1,1,0,7,2,2,2,0,2,2,9,2,0,2,5,2,2,0,2,2,2,2,2
5,1,1,1,4,7,2,2,2,2,2,2,9,2,1,2,5,2,2,5,2,2,2,2,2,2
1,1,1,4,1,2,2,2,2,6,2,9,2,1,2,5,2,2,5,6,2,2,2,2,2,2
1,1,4,1,1,2,2,2,6,2,9,2,1,2,2,2,2,5,6,6,2,2,2,2,2,2
1,4,1,1,1,2,2,6,2,9,2,1,2,2,2,2,5,6,6,2,2,2,2,2,2,2
4,1,1,1,1,2,6,2,9,2,1,2,2,2,3,5,6,6,2,2,2,2,2,2,2,2
