q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,4,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,8,4,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,8,4,3,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,8,4,3,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,4,3,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,3,8,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,4,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,8,4,3,0,0,8,0,0,8
0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,8,4,3,8,0,8,0,0,8,8
0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,8,4,3,8,0,8,0,0,8,0,8
0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,4,3,8,0,0,0,0,8,0,0,8
0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,3,8,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0
0,0,0,0,0,0,0,0,8,8,0,0,0,8,4,0,0,0,8,0,0,0,0,8,2,0
0,0,0,0,0,0,0,8,8,8,0,0,8,4,3,0,0,8,0,0,0,0,8,2,6,8
0,0,0,0,0,0,8,8,8,8,0,8,4,3,8,0,8,0,0,8,0,8,2,6,8,0
0,0,0,0,0,8,8,8,8,0,8,4,3,8,0,8,0,0,8,0,8,2,6,8,0,0
0,0,0,0,0,8,8,8,0,0,4,3,8,0,0,0,0,8,0,0,2,6,8,0,0,8
0,0,0,0,0,8,8,0,0,0,3,8,0,0,0,0,8,0,0,0,6,8,0,0,0,0
0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0
0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0
0,0,0,8,8,0,0,0,8,4,0,0,0,8,0,0,0,0,8,2,0,0,0,8,8,0
0,0,8,8,8,0,0,8,4,3,0,0,8,0,0,0,0,8,2,6,0,0,8,8,8,8
0,8,8,8,8,0,8,4,3,8,0,8,0,0,8,0,8,2,6,8,0,8,8,8,8,0
8,8,8,8,0,8,4,3,8,0,8,0,0,8,0,8,2,6,8,0,8,8,8,8,0,0
8,8,8,0,0,4,3,8,0,0,0,0,8,0,0,2,6,8,0,0,8,8,8,0,0,8
8,8,0,0,0,3,8,0,0,0,0,8,0,0,0,6,8,0,0,0,8,8,0,0,0,0
8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0
0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0
0,0,0,8,4,0,0,0,8,0,0,0,0,8,2,0,0,0,8,8,0,0,0,0,0,0
0,0,8,4,3,0,0,8,0,0,0,0,8,2,6,0,0,8,8,8,0,0,0,0,0,8
0,8,4,3,8,0,8,0,0,8,0,8,2,6,8,0,8,8,8,8,0,0,0,0,0,0
8,4,3,8,0,8,0,0,8,0,8,2,6,8,0,8,8,8,8,0,0,0,0,0,0,0
4,3,8,0,0,0,0,8,0,0,2,6,8,0,0,8,8,8,0,0,0,0,0,0,0,8
3,8,0,0,0,0,8,0,0,0,6,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0
8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,0,0,0,0,8,2,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,8,2,6,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,8
0,8,0,0,8,0,8,2,6,8,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,8
8,0,0,8,0,8,2,6,8,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,8
0,0,8,0,0,2,6,8,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8
0,8,0,0,0,6,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,2,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,8,2,6,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,2,6,8,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,6,8,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,8,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
