q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,2,0,5,0,0
0,0,0,0,2,0,5,0,0,0
0,0,0,2,0,4,0,0,0,0
0,0,0,0,4,3,0,0,0,0
0,0,0,4,3,0,0,0,0,0
0,0,2,0,5,0,0,0,0,0
0,2,0,5,0,0,0,0,6,0
2,0,4,0,0,0,0,6,0,0
0,4,3,0,0,0,6,0,0,0
4,3,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,5,2,5
5,0,0,0,0,6,5,2,0,0
0,0,0,0,6,0,2,0,4,0
0,0,0,6,0,0,0,4,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,5,2,0,5,0,5
0,0,6,5,2,0,5,0,0,2
0,6,0,2,0,4,0,0,0,0
6,0,0,0,4,0,0,0,0,4
0,0,0,4,0,0,0,0,0,0
0,5,2,0,5,0,0,0,0,5
5,2,0,5,0,0,0,0,0,2
2,0,4,0,0,0,0,0,0,6
0,4,0,0,0,0,0,0,0,4
4,0,0,0,0,0,0,0,0,3
