q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,2,0
0,0,0,0,0,0,4,2,0,4
0,0,0,0,0,0,2,0,0,4
0,0,0,0,0,4,0,0,4,0
0,0,0,0,4,2,0,4,4,4
0,0,0,4,2,0,4,4,0,4
0,0,0,2,0,0,4,0,0,4
0,0,4,0,0,4,0,0,0,0
0,4,2,0,4,4,0,0,0,4
4,2,0,4,4,0,0,0,0,4
2,0,0,4,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0
0,4,4,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,3,3,0
0,0,0,0,0,0,3,3,0,0
0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,3,0,0,3,0
0,0,0,0,3,3,0,3,2,3
0,0,0,3,3,0,3,2,0,3
0,0,0,3,0,0,2,0,0,0
0,0,3,0,0,3,0,0,0,0
0,3,3,0,3,2,0,0,0,3
3,3,0,3,2,0,0,0,0,3
3,0,0,2,0,0,0,0,0,3
0,0,3,0,0,0,0,0,0,0
0,3,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,2,0
0,0,0,0,0,0,6,2,0,6
0,0,0,0,0,0,2,0,0,6
0,0,0,0,0,6,0,0,2,0
0,0,0,0,6,2,0,2,6,6
0,0,0,6,2,0,2,6,0,6
0,0,0,2,0,0,6,0,0,6
0,0,6,0,0,2,0,0,0,6
0,6,2,0,2,6,0,0,0,6
6,2,0,2,6,0,0,0,0,6
2,0,0,6,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,6
0,2,6,0,0,0,0,0,0,6
2,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,2,7
0,0,0,0,0,0,0,2,2,7
0,0,0,0,0,0,2,2,0,7
0,0,0,0,0,0,2,0,0,7
0,0,0,0,0,2,0,0,2,7
0,0,0,0,2,2,0,2,7,7
0,0,0,2,2,0,2,7,0,7
0,0,0,2,0,0,7,0,0,7
0,0,2,0,0,2,0,0,0,7
0,2,2,0,2,7,0,0,0,7
2,2,0,2,7,0,0,0,0,7
2,0,0,7,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,7
0,2,7,0,0,0,0,0,0,7
2,7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
