q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,4,2,3
0,0,0,0,0,0,4,2,0,3
0,0,0,0,0,0,2,0,0,3
0,0,0,0,0,0,0,4,4,3
0,0,0,0,0,4,4,4,4,3
0,0,0,0,4,2,4,4,2,4
0,0,0,4,2,0,4,2,0,4
0,0,0,2,0,0,2,0,0,3
0,0,0,0,0,4,0,0,0,3
0,0,0,0,4,4,0,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,2,4,4,2,0,4,2,4
4,2,0,4,2,0,4,2,0,4
2,0,0,2,0,0,2,0,0,4
0,0,0,0,0,0,0,0,0,4
0,0,4,0,0,0,0,0,0,3
0,4,4,0,0,0,0,0,0,3
4,4,4,0,0,4,0,0,0,3
4,4,2,0,4,2,0,0,0,4
4,2,0,4,2,0,0,0,0,4
2,0,0,2,0,0,0,0,0,3
0,4,2,0,0,0,0,0,0,3
4,2,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,2,3
0,0,0,0,0,0,0,2,2,3
0,0,0,0,0,0,2,2,0,6
0,0,0,0,0,2,0,0,6,3
0,0,0,0,2,2,0,6,6,6
0,0,0,2,2,0,6,6,0,6
0,0,0,2,0,0,6,0,0,3
0,0,2,0,0,6,0,0,0,3
0,2,2,0,6,6,0,0,6,6
2,2,0,6,6,0,0,6,0,6
2,0,0,6,0,0,6,0,0,3
0,0,6,0,0,0,0,0,0,3
0,6,6,0,0,6,0,0,6,3
6,6,0,0,6,0,0,6,6,6
6,0,0,6,0,0,6,6,0,3
0,0,0,0,0,0,6,0,0,3
0,0,6,0,0,6,0,0,0,3
0,6,0,0,6,6,0,0,0,6
6,0,0,6,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,3
0,6,6,0,0,0,0,0,0,3
6,6,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,2,7,3
0,0,0,0,0,0,2,7,0,3
0,0,0,0,0,0,7,0,0,3
0,0,0,0,0,2,0,0,2,3
0,0,0,0,2,7,0,2,7,7
0,0,0,2,7,0,2,7,7,7
0,0,0,7,0,0,7,7,0,3
0,0,2,0,0,2,0,0,0,7
0,2,7,0,2,7,0,0,0,7
2,7,0,2,7,7,0,0,0,7
7,0,0,7,7,0,0,0,0,7
0,0,0,7,0,0,0,0,0,3
0,0,2,0,0,0,0,0,0,3
0,2,7,0,0,0,0,0,0,3
2,7,7,0,0,0,0,0,0,3
7,7,0,0,0,0,0,0,0,3
7,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,8,3
0,0,0,0,0,0,0,8,8,3
0,0,0,0,0,0,8,8,8,3
0,0,0,0,0,0,8,8,0,3
0,0,0,0,0,0,8,0,0,3
0,0,0,0,0,8,0,0,0,3
0,0,0,0,8,8,0,0,0,8
0,0,0,8,8,8,0,0,8,8
0,0,0,8,8,0,0,8,0,8
0,0,0,8,0,0,8,0,0,3
0,0,8,0,0,0,0,0,0,3
0,8,8,0,0,0,0,0,0,3
8,8,8,0,0,8,0,0,2,3
8,8,0,0,8,0,0,2,0,8
8,0,0,8,0,0,2,0,0,3
0,0,8,0,0,2,0,0,0,3
0,8,0,0,2,0,0,0,0,8
8,0,0,2,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,8
0,0,2,0,0,0,0,0,0,8
0,2,0,0,0,0,0,0,0,8
