q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,2,2,0,2,1,1
0,0,0,2,2,1,2,1,2,8
0,0,0,2,1,0,1,2,0,2
0,2,2,0,2,1,0,2,8,2
2,2,1,2,1,2,2,8,1,1
2,1,0,1,2,0,8,1,0,2
0,2,1,0,2,8,0,0,0,1
2,1,2,2,8,1,0,0,0,2
1,2,0,8,1,0,0,0,0,2
0,0,0,0,9,2,0,2,4,2
0,0,0,9,2,4,2,4,4,9
0,0,0,2,4,0,4,4,0,2
0,9,2,0,2,4,0,2,9,4
9,2,4,2,4,4,2,9,2,4
2,4,0,4,4,0,9,2,0,2
0,2,4,0,2,9,0,0,0,4
2,4,4,2,9,2,0,0,0,2
4,4,0,9,2,0,0,0,0,9
0,0,0,0,8,8,0,5,5,5
0,0,0,8,8,8,5,5,8,5
0,0,0,8,8,0,5,8,0,8
0,8,8,0,5,5,0,8,5,8
8,8,8,5,5,8,8,5,5,5
8,8,0,5,8,0,5,5,0,5
0,5,5,0,8,5,0,0,0,8
5,5,8,8,5,5,0,0,0,8
5,8,0,5,5,0,0,0,0,8
0,0,0,0,3,2,0,9,9,3
0,0,0,3,2,9,9,9,9,3
0,0,0,2,9,0,9,9,0,2
0,3,2,0,9,9,0,2,3,9
3,2,9,9,9,9,2,3,3,9
2,9,0,9,9,0,3,3,0,9
0,9,9,0,2,3,0,0,0,9
9,9,9,2,3,3,0,0,0,2
9,9,0,3,3,0,0,0,0,3
