q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,8,8,0,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,8,8,8,1,6
0,0,0,8,8,8,8,1,1,8
0,0,0,8,8,8,1,1,1,8
0,0,0,8,8,8,1,1,1,6
0,0,0,8,8,8,1,1,1,8
0,0,0,8,8,8,1,1,8,8
0,0,0,8,8,8,1,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,1,8,8,1,6
8,8,8,8,1,1,8,1,8,1
8,8,8,1,1,1,1,8,8,1
8,8,8,1,1,1,8,8,8,1
8,8,8,1,1,1,8,8,1,1
8,8,8,1,1,8,8,1,8,1
8,8,8,1,8,8,1,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,1,8,8,1,8,8,1,6
8,1,1,8,1,8,8,1,8,1
1,1,1,1,8,8,1,8,8,8
1,1,1,8,8,8,8,8,8,6
1,1,1,8,8,1,8,8,1,8
1,1,8,8,1,8,8,1,8,1
1,8,8,1,8,8,1,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,1,8,8,1,8,8,1,6
8,1,8,8,1,8,8,1,8,1
1,8,8,1,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,1,8,8,1,8,8,1,6
8,1,8,8,1,8,8,1,8,1
1,8,8,1,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,0,8,8,0,8,8,0,6
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,1,8,8,1,8,8,1,6
8,1,8,8,1,8,8,1,1,1
1,8,8,1,8,8,1,1,1,8
8,8,8,8,8,8,1,1,1,6
8,8,1,8,8,1,1,1,1,8
8,1,8,8,1,8,1,1,8,1
1,8,8,1,8,8,1,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,1,8,8,1,8,8,8,6
8,1,8,8,1,1,8,8,8,1
1,8,8,1,1,1,8,8,8,1
8,8,8,1,1,1,8,8,8,1
8,8,1,1,1,1,8,8,8,1
8,1,8,1,1,8,8,8,8,1
1,8,8,1,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,1,8,8,8,8,8,8,6
8,1,1,8,8,8,8,8,8,8
1,1,1,8,8,8,8,8,8,8
1,1,1,8,8,8,8,8,8,6
1,1,1,8,8,8,8,8,8,8
1,1,8,8,8,8,8,8,8,8
1,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,1,8
8,8,8,8,8,8,8,1,1,8
8,8,8,8,8,8,1,1,1,8
8,8,8,8,8,8,1,1,1,6
8,8,8,8,8,8,1,1,1,8
8,8,8,8,8,8,1,1,8,8
8,8,8,8,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,1,8,8,1,8
8,8,8,8,1,1,8,1,8,1
8,8,8,1,1,1,1,8,8,1
8,8,8,1,1,1,8,8,8,1
8,8,8,1,1,1,8,8,1,1
8,8,8,1,1,8,8,1,8,1
8,8,8,1,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,1,8,8,1,8,8,1,8
8,1,1,8,1,8,8,1,8,1
1,1,1,1,8,8,1,8,8,8
1,1,1,8,8,8,8,8,8,6
1,1,1,8,8,1,8,8,1,8
1,1,8,8,1,8,8,1,8,1
1,8,8,1,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,1,8,8,1,8,8,1,6
8,1,8,8,1,8,8,1,8,1
1,8,8,1,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,1,8,8,1,8,8,1,6
8,1,8,8,1,8,8,1,8,1
1,8,8,1,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,6
8,8,0,8,8,0,8,8,0,6
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,1,8,8,1,8,8,1,8
8,1,8,8,1,8,8,1,1,1
1,8,8,1,8,8,1,1,1,8
8,8,8,8,8,8,1,1,1,6
8,8,1,8,8,1,1,1,1,8
8,1,8,8,1,8,1,1,8,1
1,8,8,1,8,8,1,8,8,6
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,1,8,8,1,8,8,8,8
8,1,8,8,1,1,8,8,8,1
1,8,8,1,1,1,8,8,8,1
8,8,8,1,1,1,8,8,8,1
8,8,1,1,1,1,8,8,8,1
8,1,8,1,1,8,8,8,8,1
1,8,8,1,8,8,8,8,8,6
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
0,8,8,0,8,8,0,0,0,8
8,8,8,8,8,8,0,0,0,8
8,8,1,8,8,8,0,0,0,8
8,1,1,8,8,8,0,0,0,8
1,1,1,8,8,8,0,0,0,8
1,1,1,8,8,8,0,0,0,6
1,1,1,8,8,8,0,0,0,8
1,1,8,8,8,8,0,0,0,8
1,8,8,8,8,8,0,0,0,6
8,8,8,8,8,8,0,0,0,8
8,8,8,8,8,8,0,0,0,8
8,8,8,8,8,8,0,0,0,8
8,8,8,8,8,8,0,0,0,8
8,8,8,8,8,8,0,0,0,8
8,8,0,8,8,0,0,0,0,8
