q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,4,0,4,0,4
0,0,0,4,4,4,4,0,4,4
0,0,0,4,4,0,0,4,0,4
0,0,0,4,0,0,4,0,0,0
0,4,4,0,4,0,0,0,0,4
4,4,4,4,0,4,0,0,4,7
4,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,4,0,0,0,0,0,0,0,7
4,0,4,0,0,4,0,0,0,7
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,4,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,0,4,4,0,0,4,4
0,0,0,4,4,0,0,4,4,4
0,0,0,4,0,0,4,4,0,7
0,0,4,0,0,0,0,0,4,0
0,4,4,0,0,4,0,4,0,7
4,4,0,0,4,4,4,0,4,4
4,0,0,4,4,0,0,4,0,4
0,0,4,0,4,0,0,0,0,4
0,4,4,4,0,4,0,0,0,7
4,4,0,0,4,0,0,0,0,4
4,0,4,0,0,0,0,0,0,0
0,0,0,4,4,4,0,4,4,4
0,0,0,4,4,0,4,4,0,4
0,4,4,0,0,4,0,4,4,7
4,4,4,0,4,4,4,4,4,4
4,4,0,4,4,0,4,4,0,4
0,0,4,0,4,4,0,0,0,4
0,4,4,4,4,4,0,0,0,4
4,4,0,4,4,0,0,0,0,4
0,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
0,0,0,4,4,4,0,4,0,4
0,0,0,4,4,0,4,0,0,4
0,0,0,4,0,0,0,0,0,0
0,4,4,0,0,4,0,0,4,7
4,4,4,0,4,0,0,4,0,4
4,4,0,4,0,0,4,0,0,7
0,0,4,0,0,4,0,0,0,7
4,0,0,4,0,0,0,0,0,7
