q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,9,9,0,9,0,1
0,0,0,9,9,9,9,0,0,1
0,0,0,9,9,9,0,0,0,1
0,0,0,9,9,9,0,0,0,1
0,0,0,9,9,9,0,0,9,1
0,0,0,9,9,0,0,9,0,1
0,9,9,0,9,0,0,9,0,1
9,9,9,9,0,0,9,0,1,9
9,9,9,0,0,0,0,1,1,9
9,9,9,0,0,0,1,1,0,9
9,9,9,0,0,9,1,0,9,9
9,9,0,0,9,0,0,9,0,1
0,9,0,0,9,0,0,9,0,1
9,0,0,9,0,1,9,0,1,9
0,0,0,0,1,1,0,1,1,0
0,0,0,1,1,0,1,1,0,0
0,0,9,1,0,9,1,0,9,9
0,9,0,0,9,0,0,9,0,1
0,9,0,0,9,0,0,9,0,1
9,0,1,9,0,1,9,0,0,9
0,1,1,0,1,1,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,0,9,1,0,9,0,0,9,9
0,9,0,0,9,0,0,9,0,1
0,9,0,0,9,0,0,9,9,1
9,0,1,9,0,0,9,9,9,9
0,1,1,0,0,0,9,9,9,9
1,1,0,0,0,0,9,9,9,9
1,0,9,0,0,9,9,9,9,9
0,9,0,0,9,0,9,9,0,1
0,9,0,0,9,9,0,0,0,1
9,0,0,9,9,9,0,0,0,1
0,0,0,9,9,9,0,0,0,1
0,0,0,9,9,9,0,0,0,1
0,0,9,9,9,9,0,0,0,1
0,9,0,9,9,0,0,0,0,1
