q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,1,2,0,2,3,1
0,0,0,1,2,3,2,3,4,2
0,0,0,2,3,4,3,4,5,3
0,0,0,3,4,5,4,5,6,4
0,0,0,4,5,6,5,6,7,5
0,0,0,5,6,7,6,7,8,6
0,0,0,6,7,0,7,8,0,7
0,0,0,7,0,0,8,0,0,8
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,3,0,0,4,2
0,0,0,0,3,4,0,4,5,3
0,0,0,3,4,5,4,5,6,4
0,0,0,4,5,6,5,6,7,5
0,0,0,5,6,7,6,7,8,6
0,0,0,6,7,8,7,8,1,7
0,0,0,7,8,0,8,1,0,8
0,1,2,0,2,3,0,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,0,7,8,0,8,1,2,8
7,0,0,8,0,0,1,2,3,1
0,0,0,0,0,0,2,3,4,2
0,0,3,0,0,4,3,4,5,3
0,3,4,0,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,8,7,8,1,8,1,2,8
7,8,0,8,1,0,1,2,0,1
0,2,3,0,3,4,0,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,8,7,8,1,8,1,2,8
7,8,0,8,1,2,1,2,3,1
8,0,0,1,2,3,2,3,4,2
0,0,0,2,3,4,3,4,5,3
0,0,4,3,4,5,4,5,6,4
0,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,8,7,8,1,8,1,2,8
7,8,1,8,1,2,1,2,3,1
8,1,0,1,2,0,2,3,0,2
0,3,4,0,4,5,0,5,6,4
3,4,5,4,5,6,5,6,0,5
4,5,6,5,6,7,6,0,0,6
5,6,7,6,7,8,0,0,0,7
6,7,8,7,8,1,0,0,0,8
7,8,1,8,1,2,0,0,3,1
8,1,2,1,2,3,0,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,8,7,8,1,8,1,2,8
7,8,1,8,1,2,1,2,3,1
8,1,2,1,2,3,2,3,4,2
1,2,0,2,3,0,3,4,0,3
0,4,5,0,5,6,0,6,7,5
4,5,6,5,6,0,6,7,0,6
5,6,7,6,0,0,7,0,0,7
6,7,8,0,0,0,0,0,0,8
7,8,1,0,0,0,0,0,0,1
8,1,2,0,0,3,0,0,0,2
1,2,3,0,3,4,0,0,0,3
2,3,4,3,4,5,0,0,0,4
3,4,5,4,5,6,0,0,7,5
4,5,6,5,6,7,0,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,8,7,8,1,8,1,2,8
7,8,1,8,1,2,1,2,3,1
8,1,2,1,2,3,2,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,0,3,4,0,4,5,0,4
0,5,6,0,6,7,0,7,8,6
5,6,0,6,7,0,7,8,0,7
6,0,0,7,0,0,8,0,0,8
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2
0,0,3,0,0,0,0,0,0,3
0,3,4,0,0,0,0,0,0,4
3,4,5,0,0,0,0,0,0,5
4,5,6,0,0,7,0,0,8,6
5,6,7,0,7,8,0,8,1,7
6,7,8,7,8,1,8,1,2,8
7,8,1,8,1,2,1,2,3,1
8,1,2,1,2,3,2,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,0,4,5,0,5,6,0,5
0,6,7,0,7,8,0,8,1,7
6,7,0,7,8,0,8,1,0,8
7,0,0,8,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,6
0,0,7,0,0,8,0,0,1,7
0,7,8,0,8,1,0,1,2,8
7,8,1,8,1,2,1,2,3,1
8,1,2,1,2,3,2,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,0,5,6,0,6,7,0,6
0,7,8,0,8,1,0,1,2,8
7,8,0,8,1,0,1,2,3,1
8,0,0,1,0,0,2,3,4,2
0,0,0,0,0,0,3,4,5,3
0,0,0,0,0,0,4,5,0,4
0,0,0,0,0,0,5,0,0,5
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,7
0,0,8,0,0,1,0,0,2,8
0,8,1,0,1,2,0,2,3,1
8,1,2,1,2,3,2,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,0,6,7,0,7,8,0,7
0,8,1,0,1,2,0,2,3,1
8,1,0,1,2,3,2,3,4,2
1,0,0,2,3,4,3,4,5,3
0,0,0,3,4,5,4,5,6,4
0,0,0,4,5,0,5,6,7,5
0,0,0,5,0,0,6,7,8,6
0,0,0,0,0,0,7,8,1,7
0,0,0,0,0,0,8,1,2,8
0,0,1,0,0,2,1,2,3,1
0,1,2,0,2,3,2,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,0,7,8,0,8,1,0,8
0,1,2,0,2,3,0,3,4,2
1,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,0,5,6,7,6,7,8,6
5,0,0,6,7,8,7,8,1,7
0,0,0,7,8,1,8,1,2,8
0,0,0,8,1,2,1,2,3,1
0,0,2,1,2,3,2,3,4,2
0,2,3,2,3,4,3,4,5,3
2,3,4,3,4,5,4,5,6,4
3,4,5,4,5,6,5,6,7,5
4,5,6,5,6,7,6,7,8,6
5,6,7,6,7,8,7,8,1,7
6,7,8,7,8,1,8,1,2,8
