q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,9,0
0,0,0,0,0,0,2,9,0,0
0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,2,1,1
0,0,0,1,1,0,2,1,0,1
0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,1,0
0,0,0,0,2,9,0,1,6,2
0,0,0,2,9,0,1,6,0,9
0,0,0,9,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,0,2,1,0,0,0,2
1,1,0,2,1,0,0,0,0,1
1,0,0,1,0,0,0,0,4,0
0,0,0,0,0,0,0,4,7,0
0,0,0,0,0,0,4,7,0,0
0,0,2,0,0,1,7,0,0,0
0,2,9,0,1,6,0,0,0,1
2,9,0,1,6,0,0,0,0,6
9,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,3
2,1,0,0,0,0,0,0,0,3
1,0,0,0,0,4,0,0,8,0
0,0,0,0,4,7,0,8,4,4
0,0,0,4,7,0,8,4,0,7
0,0,1,7,0,0,4,0,0,0
0,1,6,0,0,0,0,0,0,3
1,6,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,4,0,0,8,0,0,0,0
0,4,7,0,8,4,0,0,0,8
4,7,0,8,4,0,0,0,0,4
7,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0
0,8,4,0,0,0,0,0,0,3
8,4,0,0,0,0,0,0,0,3
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
