q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,6,4,0,0,0,0
0,0,0,6,4,0,0,0,3,0
0,0,0,4,0,5,0,3,5,0
0,0,0,0,5,0,3,5,2,5
0,0,0,5,0,3,5,2,8,2
0,0,0,0,3,0,2,8,6,2
0,0,0,3,0,5,8,6,5,2
0,0,0,0,5,0,6,5,8,5
0,0,0,5,0,4,5,8,0,4
0,0,0,0,4,0,8,0,2,4
0,0,0,4,0,0,0,2,0,4
0,6,4,0,0,0,0,2,0,0
6,4,0,0,0,3,2,0,8,0
4,0,5,0,3,5,0,8,5,0
0,5,0,3,5,2,8,5,4,5
5,0,3,5,2,8,5,4,0,2
0,3,0,2,8,6,4,0,0,2
3,0,5,8,6,5,0,0,5,2
0,5,0,6,5,8,0,5,6,5
5,0,4,5,8,0,5,6,3,4
0,4,0,8,0,2,6,3,0,4
4,0,0,0,2,0,3,0,0,4
0,0,0,0,2,0,0,5,5,0
0,0,3,2,0,8,5,5,5,0
0,3,5,0,8,5,5,5,5,0
3,5,2,8,5,4,5,5,5,5
5,2,8,5,4,0,5,5,5,2
2,8,6,4,0,0,5,5,5,2
8,6,5,0,0,5,5,5,5,2
6,5,8,0,5,6,5,5,5,5
5,8,0,5,6,3,5,5,5,4
8,0,2,6,3,0,5,5,5,4
0,2,0,3,0,0,5,5,0,4
0,2,0,0,5,5,0,2,0,5
2,0,8,5,5,5,2,0,0,5
0,8,5,5,5,5,0,0,5,5
8,5,4,5,5,5,0,5,0,5
5,4,0,5,5,5,5,0,3,5
4,0,0,5,5,5,0,3,0,5
0,0,5,5,5,5,3,0,5,5
0,5,6,5,5,5,0,5,3,5
5,6,3,5,5,5,5,3,6,5
6,3,0,5,5,5,3,6,2,5
3,0,0,5,5,0,6,2,0,5
0,5,5,0,2,0,0,3,4,0
5,5,5,2,0,0,3,4,6,0
5,5,5,0,0,5,4,6,5,0
5,5,5,0,5,0,6,5,8,5
5,5,5,5,0,3,5,8,4,6
5,5,5,0,3,0,8,4,2,6
5,5,5,3,0,5,4,2,5,6
5,5,5,0,5,3,2,5,0,5
5,5,5,5,3,6,5,0,0,3
5,5,5,3,6,2,0,0,4,3
5,5,0,6,2,0,0,4,0,3
0,2,0,0,3,4,0,0,8,0
2,0,0,3,4,6,0,8,0,0
0,0,5,4,6,5,8,0,5,0
0,5,0,6,5,8,0,5,0,5
5,0,3,5,8,4,5,0,0,6
0,3,0,8,4,2,0,0,6,6
3,0,5,4,2,5,0,6,5,6
0,5,3,2,5,0,6,5,8,5
5,3,6,5,0,0,5,8,0,3
3,6,2,0,0,4,8,0,0,3
6,2,0,0,4,0,0,0,0,3
0,3,4,0,0,8,0,5,5,0
3,4,6,0,8,0,5,5,5,0
4,6,5,8,0,5,5,5,5,0
6,5,8,0,5,0,5,5,5,5
5,8,4,5,0,0,5,5,5,6
8,4,2,0,0,6,5,5,5,6
4,2,5,0,6,5,5,5,5,6
2,5,0,6,5,8,5,5,5,5
5,0,0,5,8,0,5,5,5,3
0,0,4,8,0,0,5,5,5,3
0,4,0,0,0,0,5,5,0,3
0,0,8,0,5,5,0,0,2,5
0,8,0,5,5,5,0,2,4,5
8,0,5,5,5,5,2,4,5,5
0,5,0,5,5,5,4,5,0,5
5,0,0,5,5,5,5,0,6,5
0,0,6,5,5,5,0,6,4,5
0,6,5,5,5,5,6,4,5,5
6,5,8,5,5,5,4,5,0,5
5,8,0,5,5,5,5,0,2,5
8,0,0,5,5,5,0,2,8,5
0,0,0,5,5,0,2,8,0,5
0,5,5,0,0,2,0,0,6,0
5,5,5,0,2,4,0,6,3,0
5,5,5,2,4,5,6,3,5,0
5,5,5,4,5,0,3,5,0,5
5,5,5,5,0,6,5,0,0,0
5,5,5,0,6,4,0,0,3,0
5,5,5,6,4,5,0,3,5,0
5,5,5,4,5,0,3,5,4,5
5,5,5,5,0,2,5,4,0,0
5,5,5,0,2,8,4,0,6,0
5,5,0,2,8,0,0,6,0,0
0,0,2,0,0,6,0,0,0,0
0,2,4,0,6,3,0,0,0,0
2,4,5,6,3,5,0,0,5,0
4,5,0,3,5,0,0,5,2,5
5,0,6,5,0,0,5,2,0,0
0,6,4,0,0,3,2,0,8,0
6,4,5,0,3,5,0,8,5,0
4,5,0,3,5,4,8,5,3,5
5,0,2,5,4,0,5,3,0,0
0,2,8,4,0,6,3,0,0,0
2,8,0,0,6,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,3,0,0,0,0,0,0,0
6,3,5,0,0,5,0,0,0,0
3,5,0,0,5,2,0,0,0,5
5,0,0,5,2,0,0,0,0,0
0,0,3,2,0,8,0,0,0,0
0,3,5,0,8,5,0,0,0,0
3,5,4,8,5,3,0,0,0,5
5,4,0,5,3,0,0,0,0,0
4,0,6,3,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
