q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,4,4,0,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,4,4,4,4,4
0,0,0,4,4,0,4,4,0,4
0,4,4,0,4,4,0,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,1,4
4,4,4,4,4,4,4,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,1,4
4,4,4,4,4,4,1,1,4,4
4,4,4,4,4,4,1,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,0,4,4,0,4,4,0,4
0,4,4,0,4,4,0,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,1,4,4,1,4
4,4,4,4,1,1,4,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1
4,4,4,1,1,4,1,1,4,1
4,4,4,1,4,4,1,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,0,4,4,0,4,4,0,4
0,4,4,0,4,4,0,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,1,4,4,1,4,4,1,4
4,1,1,4,1,1,4,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,4,1,1,4,1,1,4,1
1,4,4,1,4,4,1,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,0,4,4,0,4,4,0,4
0,4,4,0,4,4,0,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,1,4,4,1,4,4,1,4
4,1,1,4,1,1,4,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,4,1,1,4,1,1,4,1
1,4,4,1,4,4,1,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,0,4,4,0,4,4,0,4
0,4,4,0,4,4,0,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,1,4,4,1,4,4,1,4
4,1,1,4,1,1,4,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
