q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,4,4
0,0,0,0,0,0,4,4,4,4
0,0,0,0,0,0,4,4,0,4
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,4,0,0,4,4
0,0,0,0,4,4,0,4,6,6
0,0,0,4,4,4,4,6,4,6
0,0,0,4,4,0,6,4,0,6
0,0,0,4,0,0,4,0,0,4
0,0,4,0,0,4,0,0,4,4
0,4,4,0,4,6,0,4,4,6
4,4,4,4,6,4,4,4,4,4
4,4,0,6,4,0,4,4,0,6
4,0,0,4,0,0,4,0,0,4
0,0,4,0,0,4,0,0,0,4
0,4,6,0,4,4,0,0,0,6
4,6,4,4,4,4,0,0,0,6
6,4,0,4,4,0,0,0,0,6
4,0,0,4,0,0,0,0,0,4
0,0,4,0,0,0,0,0,0,0
0,4,4,0,0,0,0,0,0,4
4,4,4,0,0,0,0,0,0,4
4,4,0,0,0,0,0,0,0,4
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,2,2
0,0,0,0,0,0,2,2,2,2
0,0,0,0,0,0,2,2,0,2
0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,2,0,0,2,2
0,0,0,0,2,2,0,2,7,7
0,0,0,2,2,2,2,7,7,7
0,0,0,2,2,2,7,7,2,7
0,0,0,2,2,0,7,2,0,7
0,0,0,2,0,0,2,0,0,2
0,0,2,0,0,2,0,0,2,2
0,2,2,0,2,7,0,2,7,7
2,2,2,2,7,7,2,7,7,2
2,2,2,7,7,2,7,7,2,2
2,2,0,7,2,0,7,2,0,7
2,0,0,2,0,0,2,0,0,2
0,2,7,0,2,7,0,2,2,7
2,7,7,2,7,7,2,2,2,2
7,7,2,7,7,2,2,2,2,2
7,2,0,7,2,0,2,2,0,7
0,0,2,0,0,2,0,0,0,2
0,2,7,0,2,2,0,0,0,7
2,7,7,2,2,2,0,0,0,7
7,7,2,2,2,2,0,0,0,7
7,2,0,2,2,0,0,0,0,7
2,0,0,2,0,0,0,0,0,2
0,0,2,0,0,0,0,0,0,0
0,2,2,0,0,0,0,0,0,2
2,2,2,0,0,0,0,0,0,2
2,2,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,3,3,3
0,0,0,0,0,0,3,3,3,3
0,0,0,0,0,0,3,3,0,3
0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,3,0,0,3,3
0,0,0,0,3,3,0,3,1,1
0,0,0,3,3,3,3,1,1,1
0,0,0,3,3,3,1,1,3,1
0,0,0,3,3,0,1,3,0,1
0,0,0,3,0,0,3,0,0,3
0,0,3,0,0,3,0,0,3,3
0,3,3,0,3,1,0,3,1,1
3,3,3,3,1,1,3,1,1,3
3,3,3,1,1,3,1,1,3,3
3,3,0,1,3,0,1,3,0,1
3,0,0,3,0,0,3,0,0,3
0,3,1,0,3,1,0,3,3,1
3,1,1,3,1,1,3,3,3,3
1,1,3,1,1,3,3,3,3,3
1,3,0,1,3,0,3,3,0,1
0,0,3,0,0,3,0,0,0,3
0,3,1,0,3,3,0,0,0,1
3,1,1,3,3,3,0,0,0,1
1,1,3,3,3,3,0,0,0,1
1,3,0,3,3,0,0,0,0,1
3,0,0,3,0,0,0,0,0,3
0,0,3,0,0,0,0,0,0,0
0,3,3,0,0,0,0,0,0,3
3,3,3,0,0,0,0,0,0,3
3,3,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0
