q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,1,1,0,4,1,1
0,0,0,1,1,2,4,1,1,1
0,0,0,1,2,5,1,1,5,2
0,0,0,2,5,0,1,5,0,5
0,0,0,5,0,0,5,0,0,4
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,5,0,0,5,1
0,0,0,0,5,0,0,5,0,5
0,0,0,5,0,0,5,0,0,1
0,1,1,0,4,1,0,4,4,4
1,1,2,4,1,1,4,4,1,1
1,2,5,1,1,5,4,1,5,1
2,5,0,1,5,0,1,5,0,5
5,0,0,5,0,0,5,0,0,4
0,0,0,0,0,0,0,0,0,1
0,0,5,0,0,5,0,0,5,1
0,5,0,0,5,0,0,5,0,5
5,0,0,5,0,0,5,0,0,1
0,4,1,0,4,4,0,0,0,4
4,1,1,4,4,1,0,0,0,4
1,1,5,4,1,5,0,0,0,1
1,5,0,1,5,0,0,0,0,5
5,0,0,5,0,0,0,0,0,1
0,0,5,0,0,5,0,0,0,2
0,5,0,0,5,0,0,0,0,5
5,0,0,5,0,0,0,0,0,2
0,0,0,0,6,3,0,6,3,6
0,0,0,6,3,3,6,3,3,3
0,0,0,3,3,5,3,3,5,3
0,0,0,3,5,0,3,5,0,5
0,0,0,5,0,0,5,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,5,0,0,5,6
0,0,0,5,0,0,5,0,0,2
0,0,0,0,0,0,0,0,0,3
0,6,3,0,6,3,0,6,3,6
6,3,3,6,3,3,6,3,2,3
3,3,5,3,3,5,3,2,5,3
3,5,0,3,5,0,2,5,0,5
5,0,0,5,0,0,5,0,0,3
0,0,5,0,0,5,0,0,5,3
0,6,3,0,6,3,0,0,0,6
6,3,3,6,3,2,0,0,0,3
3,3,5,3,2,5,0,0,0,2
3,5,0,2,5,0,0,0,0,5
0,0,5,0,0,5,0,0,0,3
5,0,0,5,0,0,0,0,0,3
0,0,0,0,2,7,0,7,7,2
0,0,0,2,7,8,7,7,8,7
0,0,0,7,8,5,7,8,5,8
0,0,0,8,5,0,8,5,0,5
0,0,0,5,0,0,5,0,0,8
0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,5,0,0,5,2
0,0,0,0,0,0,0,0,0,8
0,2,7,0,7,7,0,8,8,7
2,7,8,7,7,8,8,8,8,7
7,8,5,7,8,5,8,8,5,8
8,5,0,8,5,0,8,5,0,5
5,0,0,5,0,0,5,0,0,8
0,0,5,0,0,5,0,0,5,7
0,7,7,0,8,8,0,0,0,8
7,7,8,8,8,8,0,0,0,8
7,8,5,8,8,5,0,0,0,8
8,5,0,8,5,0,0,0,0,5
5,0,0,5,0,0,0,0,0,8
0,0,5,0,0,5,0,0,0,8
0,0,0,0,0,0,0,0,0,2
