q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,9,8
0,0,0,0,0,0,0,9,3,0
0,0,0,0,0,0,9,3,0,0
0,0,0,0,0,0,3,0,0,7
0,0,0,0,0,9,0,0,7,0
0,0,0,0,9,3,0,7,8,9
0,0,0,9,3,0,7,8,0,3
0,0,0,3,0,0,8,0,0,0
0,0,9,0,0,7,0,0,0,0
0,9,3,0,7,8,0,0,0,7
9,3,0,7,8,0,0,0,0,8
3,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,7,0,0,0,0,0,0,3
0,7,8,0,0,0,0,0,0,0
7,8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,4,6,0
0,0,0,0,0,0,4,6,0,0
0,0,0,0,0,0,6,0,0,2
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,4,0,0,2,0
0,0,0,0,4,6,0,2,1,4
0,0,0,4,6,0,2,1,0,6
0,0,0,6,0,0,1,0,0,0
0,0,4,0,0,2,0,0,0,0
0,4,6,0,2,1,0,0,0,2
4,6,0,2,1,0,0,0,0,1
6,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,6
0,2,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,3,2
0,0,0,0,0,0,0,3,6,0
0,0,0,0,0,0,3,6,0,0
0,0,0,0,0,0,6,0,0,5
0,0,0,0,0,3,0,0,5,0
0,0,0,0,3,6,0,5,2,3
0,0,0,3,6,0,5,2,0,6
0,0,0,6,0,0,2,0,0,0
0,0,3,0,0,5,0,0,0,0
0,3,6,0,5,2,0,0,0,5
3,6,0,5,2,0,0,0,0,2
6,0,0,2,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,6
0,5,2,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,3
