q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,6,4,0,0,3,0
0,0,0,6,4,0,0,3,9,4
0,0,0,4,0,0,3,9,0,0
0,6,4,0,0,3,0,1,0,0
6,4,0,0,3,9,1,0,0,3
4,0,0,3,9,0,0,0,0,0
0,0,3,0,1,0,0,0,0,0
0,3,9,1,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,8,6,0
0,0,0,8,0,3,8,6,5,0
0,0,0,0,3,0,6,5,6,3
0,0,0,3,0,0,5,6,0,0
0,0,0,0,0,0,6,0,0,0
0,8,0,0,8,6,0,3,6,0
8,0,3,8,6,5,3,6,3,0
0,3,0,6,5,6,6,3,0,5
3,0,0,5,6,0,3,0,0,0
0,0,0,6,0,0,0,0,0,0
0,8,6,0,3,6,0,0,0,0
8,6,5,3,6,3,0,0,0,0
6,5,6,6,3,0,0,0,5,3
5,6,0,3,0,0,0,5,9,0
6,0,0,0,0,0,5,9,0,0
0,3,6,0,0,0,0,5,0,0
3,6,3,0,0,0,5,0,9,0
6,3,0,0,0,5,0,9,0,0
3,0,0,0,5,9,9,0,0,0
0,0,0,5,9,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0
0,0,0,5,0,9,0,0,0,0
0,0,5,0,9,0,0,0,0,9
0,5,9,9,0,0,0,0,0,0
5,9,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,3,0,0
0,0,0,3,0,4,3,0,4,0
0,0,0,0,4,0,0,4,7,4
0,0,0,4,0,0,4,7,0,0
0,0,0,0,0,0,7,0,0,0
0,3,0,0,3,0,0,0,6,0
3,0,4,3,0,4,0,6,0,0
0,4,0,0,4,7,6,0,0,4
4,0,0,4,7,0,0,0,7,0
0,0,0,7,0,0,0,7,0,0
0,3,0,0,0,6,0,0,0,0
3,0,4,0,6,0,0,0,8,0
0,4,7,6,0,0,0,8,0,0
4,7,0,0,0,7,8,0,0,0
7,0,0,0,7,0,0,0,0,0
0,0,6,0,0,0,0,0,8,0
0,6,0,0,0,8,0,8,0,0
6,0,0,0,8,0,8,0,2,8
0,0,7,8,0,0,0,2,2,0
0,7,0,0,0,0,2,2,0,0
0,0,0,0,0,8,0,0,0,0
0,0,8,0,8,0,0,0,0,0
0,8,0,8,0,2,0,0,0,0
8,0,0,0,2,2,0,0,0,0
0,0,0,2,2,0,0,0,0,0
