q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,2,7,0,5,5,2
0,0,0,2,7,8,5,5,6,7
0,0,0,7,8,8,5,6,5,5
0,0,0,8,8,8,6,5,4,5
0,0,0,8,8,0,5,4,0,5
0,2,7,0,5,5,0,8,5,8
2,7,8,5,5,6,8,5,5,8
7,8,8,5,6,5,5,5,5,6
8,8,8,6,5,4,5,5,2,8
8,8,0,5,4,0,5,2,0,4
0,5,5,0,8,5,0,8,8,5
5,5,6,8,5,5,8,8,4,8
5,6,5,5,5,5,8,4,3,8
6,5,4,5,5,2,4,3,6,8
5,4,0,5,2,0,3,6,0,2
0,8,5,0,8,8,0,6,5,5
8,5,5,8,8,4,6,5,1,5
5,5,5,8,4,3,5,1,9,4
5,5,2,4,3,6,1,9,3,3
5,2,0,3,6,0,9,3,0,6
0,8,8,0,6,5,0,0,0,6
8,8,4,6,5,1,0,0,0,8
8,4,3,5,1,9,0,0,0,1
4,3,6,1,9,3,0,0,0,9
3,6,0,9,3,0,0,0,0,3
0,0,0,0,3,5,0,4,5,3
0,0,0,3,5,1,4,5,8,8
0,0,0,5,1,0,5,8,0,1
0,3,5,0,4,5,0,2,4,4
3,5,1,4,5,8,2,4,9,8
5,1,0,5,8,0,4,9,0,5
0,4,5,0,2,4,0,0,0,2
4,5,8,2,4,9,0,0,0,4
5,8,0,4,9,0,0,0,0,9
0,0,0,0,6,5,0,5,7,6
0,0,0,6,5,3,5,7,5,8
0,0,0,5,3,0,7,5,0,3
0,6,5,0,5,7,0,8,8,8
6,5,3,5,7,5,8,8,2,7
5,3,0,7,5,0,8,2,0,8
0,5,7,0,8,8,0,0,0,5
5,7,5,8,8,2,0,0,0,5
7,5,0,8,2,0,0,0,0,2
