q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,2,0,0,0,0
0,0,0,0,2,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,9,0,8,0
0,0,0,0,0,0,0,8,8,0
0,0,0,0,0,0,8,8,8,0
0,0,0,0,0,0,8,8,8,0
0,0,0,0,0,0,8,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,9
0,0,0,9,0,8,0,0,8,0
0,0,0,0,8,8,0,8,8,9
0,0,0,8,8,8,8,8,8,6
0,0,0,8,8,8,8,8,8,8
0,0,0,8,8,0,8,8,0,2
0,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,7,0,0
0,9,0,0,0,0,0,3,0,0
9,0,8,0,0,8,3,0,8,0
0,8,8,0,8,8,0,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,7
8,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,7,0,0,0,0,7
0,0,0,0,3,0,0,4,0,3
0,0,8,3,0,8,4,0,8,0
0,8,8,0,8,8,0,8,8,3
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,0,8,8,0,8,8,0,8
8,0,0,8,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
0,3,0,0,4,0,0,0,0,4
3,0,8,4,0,8,0,0,0,0
0,8,8,0,8,8,0,0,0,4
8,8,8,8,8,8,0,0,0,8
8,8,8,8,8,8,0,0,0,6
8,8,0,8,8,0,0,0,0,8
8,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0
4,0,8,0,0,0,0,0,0,0
0,8,8,0,0,0,0,0,0,0
8,8,8,0,0,0,0,0,0,0
8,8,8,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
