q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,3,3,0,8,4,3
0,0,0,3,3,9,8,4,4,3
0,0,0,3,9,5,4,4,5,9
0,0,0,9,5,0,4,5,0,5
0,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,1,0,0,9
0,3,3,0,8,4,0,8,9,8
3,3,9,8,4,4,8,9,8,4
3,9,5,4,4,5,9,8,5,4
9,5,0,4,5,0,8,5,0,5
5,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,8
0,0,0,0,1,0,0,0,0,4
0,0,0,1,0,0,0,0,0,4
0,0,0,0,0,1,0,0,0,8
0,0,0,0,1,0,0,0,0,4
0,0,0,1,0,0,0,0,0,4
0,8,4,0,8,9,0,0,0,8
8,4,4,8,9,8,0,0,0,9
4,4,5,9,8,5,0,0,5,8
4,5,0,8,5,0,0,5,0,5
5,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,8
0,0,1,0,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,8
0,8,9,0,0,0,0,0,0,0
8,9,8,0,0,0,0,0,0,0
9,8,5,0,0,5,0,0,5,0
8,5,0,0,5,0,0,5,0,5
5,0,0,5,0,0,5,0,1,3
0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,0,0,5,0,0,5,0,5
5,0,0,5,0,1,5,0,0,8
0,0,0,0,1,0,0,0,0,4
0,0,0,1,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,8
0,0,0,0,1,0,0,0,0,4
0,0,0,1,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,0,0,5,0,0,5,0,5
5,0,1,5,0,0,5,0,0,8
0,1,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,0,0,5,0,0,5,0,5
5,0,0,5,0,0,5,0,1,3
0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,1,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,0,0,5,0,0,5,0,5
5,0,0,5,0,1,5,0,0,8
0,0,0,0,1,0,0,0,0,4
0,0,0,1,0,0,0,0,0,4
0,0,0,0,0,1,0,0,0,8
0,0,0,0,1,0,0,0,0,4
0,0,0,1,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,0,0
0,5,0,0,5,0,0,0,0,5
5,0,1,5,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,8
0,0,1,0,0,0,0,0,0,8
0,1,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
