q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,8,0,0,8,3
0,0,0,0,8,0,0,8,0,8
0,0,0,8,0,0,8,0,0,3
0,0,0,8,0,0,8,0,0,4
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,8,0,0,8,4
0,0,8,0,0,8,0,0,8,3
0,8,0,0,8,0,0,8,0,8
8,0,0,8,0,0,8,0,0,3
8,0,0,8,0,0,8,0,0,4
0,0,8,0,0,8,0,0,8,4
0,0,0,0,0,0,0,8,8,3
0,0,0,0,0,0,8,8,8,3
0,0,8,0,0,8,8,8,8,3
0,8,0,0,8,0,8,8,8,8
8,0,0,8,0,0,8,8,8,3
8,0,0,8,0,0,8,8,8,4
0,0,0,0,0,0,8,8,0,4
0,0,0,0,0,0,8,0,8,4
0,0,8,0,0,8,0,8,8,4
0,0,0,0,0,0,8,8,0,3
0,0,0,0,8,8,0,0,0,8
0,0,0,8,8,8,0,0,0,8
0,0,8,8,8,8,0,0,8,8
0,8,0,8,8,8,0,8,0,8
8,0,0,8,8,8,8,0,0,8
0,0,0,8,8,0,0,0,0,8
0,0,0,8,0,8,0,0,0,4
0,0,8,0,8,8,0,0,8,8
0,8,8,0,0,0,0,0,0,4
8,8,8,0,0,0,0,0,0,4
8,8,8,0,0,8,0,0,8,4
8,8,8,0,8,0,0,8,0,8
8,8,8,8,0,0,8,0,0,4
8,8,0,0,0,0,0,0,0,4
8,0,8,0,0,0,0,0,0,4
0,8,8,0,0,8,0,0,8,4
0,0,8,0,0,8,0,0,0,4
0,8,0,0,8,0,0,0,0,8
8,0,0,8,0,0,0,0,0,4
0,0,8,0,0,0,0,0,8,4
0,8,0,0,0,0,0,8,0,4
8,0,0,0,0,0,8,0,0,4
0,0,0,0,0,0,0,8,8,4
0,0,0,0,0,0,8,8,8,4
0,0,0,0,0,8,8,8,8,4
0,0,0,0,8,0,8,8,8,8
0,0,0,8,0,0,8,8,8,4
0,0,8,0,0,8,8,0,8,4
0,8,0,0,8,0,0,8,8,8
0,0,8,0,0,0,8,8,8,4
0,8,0,0,0,0,8,8,8,4
8,0,0,0,0,0,8,8,8,4
0,0,8,8,0,8,0,0,8,4
0,8,0,0,8,8,0,8,0,8
0,0,8,8,0,8,0,0,0,4
0,8,0,0,8,8,0,0,0,8
8,0,0,8,8,8,0,0,0,8
0,0,0,8,8,8,0,0,8,8
0,0,0,8,8,8,0,8,0,8
0,0,0,8,8,8,8,0,0,8
8,0,8,0,0,8,0,0,8,4
0,8,8,0,8,0,0,8,0,8
8,0,8,0,0,0,0,0,8,4
0,8,8,0,0,0,0,8,0,4
8,8,8,0,0,0,8,0,0,4
0,0,8,0,0,8,8,8,8,4
0,8,0,0,8,0,8,8,0,8
8,0,0,8,0,0,8,0,8,4
0,0,0,0,0,0,8,0,0,4
0,8,0,8,8,0,0,8,0,8
8,0,0,8,0,8,8,0,0,4
0,0,0,8,0,0,0,0,0,4
0,8,8,0,0,0,0,0,0,3
8,8,8,0,0,0,0,0,0,3
8,8,8,0,0,8,0,0,8,3
8,8,8,8,0,0,8,0,0,3
8,8,0,0,8,0,0,8,0,8
8,0,8,8,0,0,8,0,0,4
8,0,0,0,0,0,0,0,0,4
8,8,0,0,0,0,0,0,0,3
0,0,8,0,0,8,0,0,0,3
8,0,0,8,0,0,0,0,0,3
0,0,0,0,0,1,0,0,1,3
0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,3
0,0,1,0,0,1,0,0,1,3
0,1,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,3
0,0,0,0,0,0,0,1,1,3
0,0,0,0,0,0,1,1,1,3
0,0,1,0,0,1,1,1,1,3
0,1,0,0,1,0,1,1,1,1
1,0,0,1,0,0,1,1,1,3
0,0,0,0,0,0,1,1,0,3
0,0,0,0,1,1,0,0,0,1
0,0,0,1,1,1,0,0,0,1
0,0,1,1,1,1,0,0,1,1
0,1,0,1,1,1,0,1,0,1
1,0,0,1,1,1,1,0,0,1
0,0,1,1,1,1,0,0,0,1
0,1,0,1,1,1,0,0,0,1
1,0,0,1,1,1,0,0,0,1
0,0,0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,0,0,4
1,1,1,0,0,0,0,0,0,4
1,1,1,0,0,1,0,0,0,4
1,1,1,0,1,0,0,0,0,1
1,1,1,1,0,0,0,0,0,4
1,1,1,0,0,0,0,0,1,4
1,1,1,0,0,0,0,1,0,4
1,1,1,0,0,0,1,0,0,4
