q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,8,8,0,8,2,5
0,0,0,8,8,8,8,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,2,5
0,0,0,8,8,8,2,2,8,5
0,0,0,8,8,0,2,8,0,5
0,8,8,0,8,2,0,8,2,5
8,8,8,8,2,2,8,2,4,6
8,8,8,2,2,2,2,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,4,6
8,8,8,2,2,2,4,4,2,6
8,8,8,2,2,8,4,2,8,6
8,8,0,2,8,0,2,8,0,5
0,8,2,0,8,2,0,8,2,5
8,2,2,8,2,4,8,2,4,6
2,2,2,2,4,4,2,4,3,7
2,2,2,4,4,4,4,3,3,7
2,2,2,4,4,4,3,3,3,7
2,2,2,4,4,4,3,3,3,7
2,2,2,4,4,4,3,3,3,7
2,2,2,4,4,4,3,3,3,7
2,2,2,4,4,4,3,3,3,7
2,2,2,4,4,4,3,3,3,7
2,2,2,4,4,4,3,3,4,7
2,2,2,4,4,2,3,4,2,7
2,2,8,4,2,8,4,2,8,6
2,8,0,2,8,0,2,8,0,5
0,8,2,0,8,2,0,8,2,5
8,2,4,8,2,4,8,2,4,6
2,4,4,2,4,3,2,4,3,7
4,4,4,4,3,3,4,3,7,3
4,4,4,3,3,3,3,7,7,3
4,4,4,3,3,3,7,7,7,3
4,4,4,3,3,3,7,7,7,3
4,4,4,3,3,3,7,7,7,3
4,4,4,3,3,3,7,7,7,3
4,4,4,3,3,3,7,7,3,3
4,4,4,3,3,4,7,3,4,3
4,4,2,3,4,2,3,4,2,7
4,2,8,4,2,8,4,2,8,6
2,8,0,2,8,0,2,8,0,5
0,8,2,0,8,2,0,8,2,5
8,2,4,8,2,4,8,2,4,6
2,4,3,2,4,3,2,4,3,7
4,3,3,4,3,7,4,3,7,3
3,3,3,3,7,7,3,7,6,4
3,3,3,7,7,7,7,6,6,4
3,3,3,7,7,7,6,6,6,4
3,3,3,7,7,7,6,6,6,4
3,3,3,7,7,7,6,6,7,4
3,3,3,7,7,3,6,7,3,4
3,3,4,7,3,4,7,3,4,3
3,4,2,3,4,2,3,4,2,7
4,2,8,4,2,8,4,2,8,6
2,8,0,2,8,0,2,8,0,5
0,8,2,0,8,2,0,8,2,5
8,2,4,8,2,4,8,2,4,6
2,4,3,2,4,3,2,4,3,7
