q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,1,0,0,8,0,1
0,0,0,1,0,5,8,0,5,0
0,0,0,0,5,5,0,5,5,1
0,0,0,5,5,5,5,5,5,1
0,0,0,5,5,5,5,5,5,1
0,0,0,5,5,5,5,5,5,1
0,0,0,5,5,5,5,5,5,1
0,0,0,5,5,0,5,5,0,1
0,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,8,0,0,1,0,8
1,0,5,8,0,5,1,0,5,0
0,5,5,0,5,5,0,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,0,5,5,0,5,5,0,8
5,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,8,0,0,1,0,0,1,0,1
8,0,5,1,0,5,1,0,5,0
0,5,5,0,5,5,0,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,0,5,5,0,5,5,0,1
5,0,0,5,0,0,5,0,5,0
0,0,0,0,0,0,0,5,5,0
0,0,0,0,0,0,5,5,5,0
0,0,0,0,0,0,5,5,0,0
0,1,0,0,1,0,0,7,0,1
1,0,5,1,0,5,7,0,5,0
0,5,5,0,5,5,0,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,5,5,5,5,5,5,5,1
5,5,0,5,5,0,5,5,0,1
5,0,0,5,0,5,5,0,5,0
0,0,0,0,5,5,0,5,5,1
0,0,0,5,5,5,5,5,5,1
0,0,0,5,5,0,5,5,0,1
0,1,0,0,7,0,0,7,0,7
1,0,5,7,0,5,7,0,5,0
0,5,5,0,5,5,0,5,5,7
5,5,5,5,5,5,5,5,5,7
5,5,5,5,5,5,5,5,5,7
5,5,5,5,5,5,5,5,5,7
5,5,5,5,5,5,5,5,5,7
5,5,0,5,5,0,5,5,0,7
5,0,5,5,0,5,5,0,5,0
0,5,5,0,5,5,0,5,5,7
5,5,5,5,5,5,5,5,5,7
5,5,0,5,5,0,5,5,0,7
0,7,0,0,7,0,0,7,0,7
7,0,5,7,0,5,7,0,0,0
0,5,5,0,5,5,0,0,0,7
5,5,5,5,5,5,0,0,0,7
5,5,5,5,5,5,0,0,0,7
5,5,5,5,5,5,0,0,5,7
5,5,5,5,5,5,0,5,5,7
5,5,0,5,5,0,5,5,5,7
5,0,5,5,0,5,5,5,5,0
0,5,5,0,5,5,5,5,5,7
5,5,5,5,5,5,5,5,5,7
5,5,0,5,5,0,5,5,0,7
0,7,0,0,7,0,0,7,0,7
7,0,5,7,0,0,7,0,0,0
0,5,5,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0
5,5,5,0,0,5,0,0,5,0
5,5,5,0,5,5,0,5,5,7
5,5,0,5,5,5,5,5,5,7
5,0,5,5,5,5,5,5,0,7
0,5,5,5,5,5,5,0,0,7
5,5,5,5,5,5,0,0,0,7
5,5,0,5,5,0,0,0,0,7
0,7,0,0,7,0,0,8,0,7
7,0,0,7,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,5,0,5,5,0,5,5,7
5,5,5,5,5,5,5,5,5,7
5,5,5,5,5,0,5,5,0,7
5,5,5,5,0,0,5,0,0,0
5,5,5,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
0,7,0,0,8,0,0,8,0,8
7,0,0,8,0,0,8,0,5,0
0,0,0,0,0,0,0,5,5,0
0,0,0,0,0,0,5,5,5,0
0,0,0,0,0,0,5,5,0,0
0,0,5,0,0,5,5,0,5,0
0,5,5,0,5,5,0,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,0,5,5,0,5,5,0,8
5,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,8,0,0,8,0,0,8,0,8
8,0,0,8,0,5,8,0,5,0
0,0,0,0,5,5,0,5,5,8
0,0,0,5,5,5,5,5,5,8
0,0,0,5,5,0,5,5,0,8
0,0,5,5,0,5,5,0,5,0
0,5,5,0,5,5,0,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,0,5,5,0,5,5,0,8
5,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,8,0,0,8,0,0,8,0,8
8,0,5,8,0,5,8,0,5,0
0,5,5,0,5,5,0,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,0,5,5,0,5,5,0,8
5,0,5,5,0,5,5,0,5,0
0,5,5,0,5,5,0,5,5,8
5,5,5,5,5,5,5,5,5,8
5,5,0,5,5,0,5,5,0,8
5,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,8,0,0,8,0,0,0,0,8
8,0,5,8,0,5,0,0,0,0
0,5,5,0,5,5,0,0,0,8
5,5,5,5,5,5,0,0,0,8
5,5,0,5,5,0,0,0,0,8
5,0,5,5,0,5,0,0,0,0
0,5,5,0,5,5,0,0,0,8
5,5,5,5,5,5,0,0,0,8
5,5,0,5,5,0,0,0,0,8
5,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
