q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,3,0,0,0,0,3
0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,0,0,0,0
0,0,0,0,9,0,0,0,0,9
0,0,0,9,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,5,5,0
0,0,6,0,0,0,5,5,5,0
0,6,0,0,0,0,5,5,5,0
6,0,0,0,0,0,5,5,5,0
0,0,0,0,0,0,5,5,0,0
0,0,9,0,0,0,5,0,5,0
0,9,0,0,0,0,0,5,5,0
9,0,0,0,0,0,5,5,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,5,0
0,0,0,0,5,5,0,5,5,6
0,0,0,5,5,5,5,5,5,6
0,0,0,5,5,5,5,5,5,6
0,0,0,5,5,5,5,5,5,6
0,0,0,5,5,0,5,5,0,6
0,0,0,5,0,5,5,0,5,0
0,0,0,0,5,5,0,5,5,9
0,0,0,5,5,0,5,5,0,9
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,5,0,5,5,0,5,5,6
5,5,5,5,5,5,5,5,5,6
5,5,5,5,5,5,5,5,5,6
5,5,5,5,5,5,5,5,5,6
5,5,0,5,5,0,5,5,0,6
5,0,5,5,0,5,5,0,5,0
0,5,5,0,5,5,0,5,5,9
5,5,0,5,5,0,5,5,0,9
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,5,0,5,5,0,5,5,6
5,5,5,5,5,5,5,5,5,6
5,5,5,5,5,5,5,5,5,6
5,5,5,5,5,5,5,5,5,6
5,5,0,5,5,0,5,5,0,6
5,0,5,5,0,5,5,0,5,0
0,5,5,0,5,5,0,5,5,9
5,5,0,5,5,0,5,5,0,9
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,0,0
0,5,5,0,5,5,0,0,0,6
5,5,5,5,5,5,0,0,0,6
5,5,5,5,5,5,0,0,0,6
5,5,5,5,5,5,0,0,0,6
5,5,0,5,5,0,0,0,0,6
5,0,5,5,0,5,0,0,5,0
0,5,5,0,5,5,0,5,5,9
5,5,0,5,5,0,5,5,0,9
0,0,0,0,0,0,0,5,5,0
0,0,5,0,0,0,5,5,5,0
0,5,5,0,0,0,5,5,5,0
5,5,5,0,0,0,5,5,0,0
5,5,5,0,0,0,5,0,0,0
5,5,5,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
5,0,5,0,0,5,0,0,5,0
0,5,5,0,5,5,0,5,5,9
5,5,0,5,5,0,5,5,0,9
0,0,0,0,5,5,0,5,5,3
0,0,0,5,5,5,5,5,5,3
0,0,0,5,5,5,5,5,5,3
0,0,0,5,5,0,5,5,0,3
0,0,0,5,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,5,0
0,5,5,0,5,5,0,5,5,9
5,5,0,5,5,0,5,5,0,9
0,5,5,0,5,5,0,0,0,3
5,5,5,5,5,5,0,0,0,3
5,5,5,5,5,5,0,0,0,3
5,5,0,5,5,0,0,0,0,3
5,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,5,0,0,0,0
0,5,5,0,5,5,0,0,0,9
5,5,0,5,5,0,0,0,0,9
0,5,5,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0
0,5,5,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
