q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,2,2,0,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,1,2
0,0,0,2,2,2,2,1,2,2
0,0,0,2,2,2,1,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,2,2,2,2,2
0,0,0,2,2,0,2,2,0,2
0,2,2,0,2,2,0,2,2,2
2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,1,2,2
2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2
2,2,2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,1,2,2
2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,0,2,2,0,2,2,0,2
0,2,2,0,2,2,0,2,2,2
2,2,2,2,2,1,2,2,2,2
2,2,2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,1,2,2
2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2
2,2,2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,0,2,2,0,2,2,0,2
0,2,2,0,2,2,0,2,2,2
2,2,1,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2
2,2,2,2,1,2,2,2,2,1
2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,0,2,2,0,2,2,0,2
0,2,2,0,2,2,0,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
