q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,4,4,0,6,4,4
0,0,0,4,4,8,6,4,3,4
0,0,0,4,8,0,4,3,0,4
0,4,4,0,6,4,0,6,3,4
4,4,8,6,4,3,6,3,0,4
4,8,0,4,3,0,3,0,0,4
0,6,4,0,6,3,0,0,0,4
6,4,3,6,3,0,0,0,0,4
4,3,0,3,0,0,0,0,0,4
0,0,0,0,6,8,0,1,8,9
0,0,0,6,8,9,1,8,1,9
0,0,0,8,9,0,8,1,0,9
0,6,8,0,1,8,0,9,4,9
6,8,9,1,8,1,9,4,9,9
8,9,0,8,1,0,4,9,0,9
0,1,8,0,9,4,0,0,0,9
1,8,1,9,4,9,0,0,0,9
8,1,0,4,9,0,0,0,0,9
0,0,0,0,4,6,0,6,4,6
0,0,0,4,6,9,6,4,1,6
0,0,0,6,9,0,4,1,0,6
0,4,6,0,6,4,0,8,8,6
4,6,9,6,4,1,8,8,6,6
6,9,0,4,1,0,8,6,0,6
0,6,4,0,8,8,0,0,0,6
6,4,1,8,8,6,0,0,0,6
4,1,0,8,6,0,0,0,0,6
