q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,6,7,0,7,6,7
0,0,0,6,7,6,7,6,7,6
0,0,0,7,6,7,6,7,6,7
0,0,0,7,6,3,6,7,3,7
0,0,0,6,3,3,7,3,3,6
0,0,0,3,3,3,3,3,3,7
0,0,0,3,3,3,3,3,3,6
0,0,0,3,3,0,3,3,0,7
0,6,7,0,7,6,0,6,7,6
6,7,6,7,6,7,6,7,6,7
7,6,7,6,7,6,7,6,7,6
7,6,3,6,7,3,7,6,3,6
6,3,3,7,3,3,6,3,3,7
3,3,3,3,3,3,3,3,3,6
3,3,3,3,3,3,3,3,3,7
3,3,0,3,3,0,3,3,0,6
0,7,6,0,6,7,0,7,6,7
6,7,3,7,6,3,6,7,3,7
7,3,3,6,3,3,7,3,3,6
3,3,0,3,3,0,3,3,0,7
0,7,6,0,6,7,0,3,3,7
7,6,7,6,7,6,3,3,3,6
6,7,6,7,6,7,3,3,3,7
6,7,3,7,6,3,3,3,3,7
7,3,3,6,3,3,3,3,3,6
0,6,7,0,3,3,0,3,3,6
6,7,6,3,3,3,3,3,3,7
7,6,7,3,3,3,3,3,3,6
7,6,3,3,3,3,3,3,3,6
6,3,3,3,3,3,3,3,3,7
0,3,3,0,3,3,0,3,3,7
0,3,3,0,3,3,0,3,3,6
0,3,3,0,3,3,0,0,0,7
3,3,3,3,3,3,0,0,0,6
3,3,3,3,3,3,0,0,0,7
3,3,0,3,3,0,0,0,0,7
0,0,0,0,6,3,0,3,6,3
0,0,0,6,3,6,3,6,3,6
0,0,0,3,6,3,6,3,6,3
0,0,0,3,6,1,6,3,1,3
0,0,0,6,1,0,3,1,0,6
0,6,3,0,3,6,0,6,3,6
6,3,6,3,6,3,6,3,6,3
3,6,3,6,3,6,3,6,3,6
3,6,1,6,3,1,3,6,1,6
6,1,0,3,1,0,6,1,0,3
0,3,6,0,6,3,0,3,6,3
6,3,1,3,6,1,6,3,1,3
3,1,0,6,1,0,3,1,0,6
0,3,6,0,6,3,0,1,1,3
3,6,3,6,3,6,1,1,1,6
6,3,6,3,6,3,1,1,1,3
6,3,1,3,6,1,1,1,1,3
3,1,0,6,1,0,1,1,0,6
0,6,3,0,1,1,0,0,0,6
6,3,6,1,1,1,0,0,0,3
3,6,3,1,1,1,0,0,0,6
3,6,1,1,1,1,0,0,0,6
6,1,0,1,1,0,0,0,0,3
0,0,0,0,5,4,0,4,5,4
0,0,0,5,4,5,4,5,4,5
0,0,0,4,5,4,5,4,5,4
0,0,0,4,5,6,5,4,6,4
0,0,0,5,6,0,4,6,0,5
0,5,4,0,4,5,0,5,4,5
5,4,5,4,5,4,5,4,5,4
4,5,4,5,4,5,4,5,4,5
4,5,6,5,4,6,4,5,6,5
5,6,0,4,6,0,5,6,0,4
0,4,5,0,5,4,0,4,5,4
5,4,6,4,5,6,5,4,6,4
4,6,0,5,6,0,4,6,0,5
0,4,5,0,5,4,0,6,6,4
4,5,4,5,4,5,6,6,6,5
5,4,5,4,5,4,6,6,6,4
5,4,6,4,5,6,6,6,6,4
4,6,0,5,6,0,6,6,0,5
0,5,4,0,6,6,0,0,0,5
5,4,5,6,6,6,0,0,0,4
4,5,4,6,6,6,0,0,0,5
4,5,6,6,6,6,0,0,0,5
5,6,0,6,6,0,0,0,0,4
