q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,4,0,2,0,0
0,0,0,0,4,4,2,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,0,0,0,3,4
0,0,0,4,0,0,0,3,0,0
0,0,4,0,2,0,0,2,0,2
0,4,4,2,0,0,2,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,3,4
4,4,4,0,0,0,0,3,0,0
4,4,4,0,0,0,3,0,0,0
4,4,0,0,0,3,0,0,3,0
4,0,0,0,3,0,0,3,0,3
0,2,0,0,2,0,0,2,0,2
2,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,3,0,0,3,0,0,3,3
0,3,0,0,3,0,0,3,0,3
2,0,0,2,0,0,2,0,0,2
0,0,0,0,0,2,0,0,0,0
0,0,0,0,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,7,0,0,0
0,0,3,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
0,0,3,0,0,3,0,0,3,0
0,0,2,0,0,0,0,0,3,0
0,2,0,0,0,0,0,3,0,0
2,0,0,0,0,0,3,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,7,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0
0,0,0,3,0,0,0,0,8,0
0,0,0,0,0,0,0,8,0,0
0,0,7,0,0,0,8,0,0,0
0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
3,0,0,0,0,8,0,0,0,0
0,0,0,0,8,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,4,0,2,0
0,0,8,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,0,4,0,0,0,0,0
