q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,3,3,0,3,3,6
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,3,3,3,3,3
0,0,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,6
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,6
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,6
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,6,6
3,3,3,3,3,3,3,6,3,3
3,3,3,3,3,3,6,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,6
3,3,3,3,3,6,3,3,3,3
3,3,3,3,6,3,3,3,0,6
3,3,3,6,3,3,3,0,3,3
3,3,3,3,3,3,0,3,0,3
3,3,3,3,3,3,3,0,3,3
3,3,3,3,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,6,3,3,3,3,3,3,3
3,6,3,3,3,0,3,3,3,3
6,3,3,3,0,3,3,3,0,0
3,3,3,0,3,0,3,0,3,3
3,3,3,3,0,3,0,3,3,0
3,3,3,0,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,3,3,3,0,3
3,0,3,3,3,0,3,0,3,3
0,3,0,3,0,3,0,3,0,0
3,0,3,0,3,3,3,0,3,3
0,3,3,3,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
