q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,6,4,3,0,0,6,3,0,4
0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,6,4,3,0,0,6,3,0,0,4
0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,6,4,3,0,0,6,3,0,0,0,4
0,0,0,0,0,0,0,4,4,8,0,0,6,4,3,0,0,6,3,0,0,0,0,0,0,4
0,0,0,0,0,0,4,4,8,0,0,6,4,3,0,0,6,3,0,0,0,0,0,0,0,4
0,0,0,0,0,4,4,8,0,0,6,4,3,0,0,6,3,0,0,0,0,0,0,0,0,4
0,0,4,4,8,0,0,6,4,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,4
0,4,4,8,0,0,6,4,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,4
4,4,8,0,0,6,4,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,0,0,1,8,1,0,0,9,4,9,9
0,0,0,0,0,0,0,0,0,0,0,6,8,9,0,0,1,8,1,0,0,9,4,9,0,9
0,0,0,0,0,0,0,0,0,0,6,8,9,0,0,1,8,1,0,0,9,4,9,0,0,9
0,0,0,0,0,0,0,6,8,9,0,0,1,8,1,0,0,9,4,9,0,0,0,0,0,9
0,0,0,0,0,0,6,8,9,0,0,1,8,1,0,0,9,4,9,0,0,0,0,0,0,9
0,0,0,0,0,6,8,9,0,0,1,8,1,0,0,9,4,9,0,0,0,0,0,0,0,9
0,0,6,8,9,0,0,1,8,1,0,0,9,4,9,0,0,0,0,0,0,0,0,0,0,9
0,6,8,9,0,0,1,8,1,0,0,9,4,9,0,0,0,0,0,0,0,0,0,0,0,9
6,8,9,0,0,1,8,1,0,0,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,6,4,1,0,0,8,8,6,6
0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,6,4,1,0,0,8,8,6,0,6
0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,6,4,1,0,0,8,8,6,0,0,6
0,0,0,0,0,0,0,4,6,9,0,0,6,4,1,0,0,8,8,6,0,0,0,0,0,6
0,0,0,0,0,0,4,6,9,0,0,6,4,1,0,0,8,8,6,0,0,0,0,0,0,6
0,0,0,0,0,4,6,9,0,0,6,4,1,0,0,8,8,6,0,0,0,0,0,0,0,6
0,0,4,6,9,0,0,6,4,1,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,6
0,4,6,9,0,0,6,4,1,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,0,6
4,6,9,0,0,6,4,1,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6
