q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,8,2,2,0,0,8,2,4,5
0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,8,2,2,2,0,8,2,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,2,2,2,2,8,2,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,2,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,2,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,2,2,2,2,8,4,4,4,2,8,5
0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,2,2,2,8,0,4,4,2,8,0,5
0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,2,2,8,0,0,4,2,8,0,0,5
0,0,0,0,0,0,0,8,8,8,0,0,8,2,2,0,0,8,2,4,0,0,8,2,4,5
0,0,0,0,0,0,8,8,8,8,0,8,2,2,2,0,8,2,4,4,0,8,2,4,3,6
0,0,0,0,0,8,8,8,8,8,8,2,2,2,2,8,2,4,4,4,8,2,4,3,3,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,2,4,4,4,4,2,4,3,3,3,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,4,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,2,4,4,4,4,2,3,3,3,4,2,6
0,0,0,0,0,8,8,8,8,8,2,2,2,2,8,4,4,4,2,8,3,3,4,2,8,6
0,0,0,0,0,8,8,8,8,0,2,2,2,8,0,4,4,2,8,0,3,4,2,8,0,6
0,0,0,0,0,8,8,8,0,0,2,2,8,0,0,4,2,8,0,0,4,2,8,0,0,5
0,0,8,8,8,0,0,8,2,2,0,0,8,2,4,0,0,8,2,4,0,0,8,2,4,5
0,8,8,8,8,0,8,2,2,2,0,8,2,4,4,0,8,2,4,3,0,8,2,4,3,6
8,8,8,8,8,8,2,2,2,2,8,2,4,4,4,8,2,4,3,3,8,2,4,3,7,7
8,8,8,8,8,2,2,2,2,2,2,4,4,4,4,2,4,3,3,3,2,4,3,7,7,7
8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,4,3,7,7,7,7
8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,3,7,7,7,7,7
8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,7,7,7,7,7,7
8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,7,7,7,7,7,7
8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,7,7,7,7,3,7
8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,3,3,3,3,4,7,7,7,3,4,7
8,8,8,8,8,2,2,2,2,2,4,4,4,4,2,3,3,3,4,2,7,7,3,4,2,7
8,8,8,8,8,2,2,2,2,8,4,4,4,2,8,3,3,4,2,8,7,3,4,2,8,7
8,8,8,8,0,2,2,2,8,0,4,4,2,8,0,3,4,2,8,0,3,4,2,8,0,6
8,8,8,0,0,2,2,8,0,0,4,2,8,0,0,4,2,8,0,0,4,2,8,0,0,5
0,0,8,2,2,0,0,8,2,4,0,0,8,2,4,0,0,8,2,4,0,0,8,2,4,5
0,8,2,2,2,0,8,2,4,4,0,8,2,4,3,0,8,2,4,3,0,8,2,4,3,6
8,2,2,2,2,8,2,4,4,4,8,2,4,3,3,8,2,4,3,7,8,2,4,3,7,7
2,2,2,2,2,2,4,4,4,4,2,4,3,3,3,2,4,3,7,7,2,4,3,7,6,3
