q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,8,3,0,0,0,8,3,0
0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,8,3,3,0,0,8,3,3,8
0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,0,8,3,3,3,0,8,3,3,3,3
0,0,0,0,0,0,0,0,0,0,8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,3
0,0,0,0,0,0,0,0,0,0,3,3,3,8,0,3,3,3,8,0,3,3,3,8,0,3
0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,3,3,8,0,0,3,3,8,0,0,8
0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,8,0,0,0,3,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,8
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0
0,0,0,0,0,0,0,0,8,3,0,0,0,8,3,0,0,0,8,3,0,0,0,8,3,0
0,0,0,0,0,0,0,8,3,3,0,0,8,3,3,0,0,8,3,3,0,0,8,3,3,8
0,0,0,0,0,0,8,3,3,3,0,8,3,3,3,0,8,3,3,3,0,8,3,3,3,3
0,0,0,0,0,8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,3
0,0,0,0,0,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,3
0,0,0,0,0,3,3,3,8,0,3,3,3,8,0,3,3,3,8,0,3,3,3,8,0,3
0,0,0,0,0,3,3,8,0,0,3,3,8,0,0,3,3,8,0,0,3,3,8,0,0,8
0,0,0,0,0,3,8,0,0,0,3,8,0,0,0,3,8,0,0,0,3,8,0,0,0,0
0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0
0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,8
0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0
0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,8,8,8,8,8,0
0,0,0,8,3,0,0,0,8,3,0,0,0,8,3,0,0,0,8,3,8,8,8,8,8,0
0,0,8,3,3,0,0,8,3,3,0,0,8,3,3,0,0,8,3,3,8,8,8,8,8,8
0,8,3,3,3,0,8,3,3,3,0,8,3,3,3,0,8,3,3,3,8,8,8,8,8,3
8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,8,8,8,8,3
3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,8,8,8,8,8,3
3,3,3,8,0,3,3,3,8,0,3,3,3,8,0,3,3,3,8,0,8,8,8,8,8,3
3,3,8,0,0,3,3,8,0,0,3,3,8,0,0,3,3,8,0,0,8,8,8,8,8,8
3,8,0,0,0,3,8,0,0,0,3,8,0,0,0,3,8,0,0,0,8,8,8,8,8,0
8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,8,8,8,8,0
0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,8,8,8,8,8,0
0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,8,8,8,8,8,8
0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,8,8,8,8,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,3,3,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,3,3,3,3,0
0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,8,8,8,8,8,3,3,3,3,8,0
0,0,0,8,3,0,0,0,8,3,0,0,0,8,3,8,8,8,8,8,3,3,3,8,6,0
0,0,8,3,3,0,0,8,3,3,0,0,8,3,3,8,8,8,8,8,3,3,8,6,6,8
0,8,3,3,3,0,8,3,3,3,0,8,3,3,3,8,8,8,8,8,3,8,6,6,6,3
8,3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,8,8,8,8,8,6,6,6,6,3
3,3,3,3,8,3,3,3,3,8,3,3,3,3,8,8,8,8,8,8,6,6,6,6,8,3
