q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,4,4,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,2,8,1,3,0,4,4,1,1,0,1,1,1,1,4
0,0,0,0,0,0,0,0,0,0,2,8,1,3,2,4,4,1,1,4,1,1,1,1,4,7
0,0,0,0,0,0,0,0,0,0,8,1,3,2,4,4,1,1,4,3,1,1,1,4,7,1
0,0,0,0,0,0,0,0,0,0,1,3,2,4,1,1,1,4,3,4,1,1,4,7,3,2
0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,1,4,3,4,0,1,4,7,3,0,3
0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,4,3,4,0,0,4,7,3,0,0,4
0,0,0,0,0,0,0,2,8,1,0,0,4,4,1,0,0,1,1,1,0,0,1,1,2,3
0,0,0,0,0,0,2,8,1,3,0,4,4,1,1,0,1,1,1,1,0,1,1,2,3,2
0,0,0,0,0,2,8,1,3,2,4,4,1,1,4,1,1,1,1,4,1,1,2,3,8,8
0,0,0,0,0,8,1,3,2,4,4,1,1,4,3,1,1,1,4,7,1,2,3,8,1,4
0,0,0,0,0,1,3,2,4,1,1,1,4,3,4,1,1,4,7,3,2,3,8,1,3,1
0,0,0,0,0,3,2,4,1,0,1,4,3,4,0,1,4,7,3,0,3,8,1,3,0,8
0,0,0,0,0,2,4,1,0,0,4,3,4,0,0,4,7,3,0,0,8,1,3,0,0,4
0,0,2,8,1,0,0,4,4,1,0,0,1,1,1,0,0,1,1,2,0,0,4,1,1,4
0,2,8,1,3,0,4,4,1,1,0,1,1,1,1,0,1,1,2,3,0,4,1,1,1,1
2,8,1,3,2,4,4,1,1,4,1,1,1,1,4,1,1,2,3,8,4,1,1,1,7,1
8,1,3,2,4,4,1,1,4,3,1,1,1,4,7,1,2,3,8,1,1,1,1,7,8,1
1,3,2,4,1,1,1,4,3,4,1,1,4,7,3,2,3,8,1,3,1,1,7,8,4,7
3,2,4,1,0,1,4,3,4,0,1,4,7,3,0,3,8,1,3,0,1,7,8,4,0,8
2,4,1,0,0,4,3,4,0,0,4,7,3,0,0,8,1,3,0,0,7,8,4,0,0,4
0,0,4,4,1,0,0,1,1,1,0,0,1,1,2,0,0,4,1,1,0,0,3,2,8,1
0,4,4,1,1,0,1,1,1,1,0,1,1,2,3,0,4,1,1,1,0,3,2,8,4,1
4,4,1,1,4,1,1,1,1,4,1,1,2,3,8,4,1,1,1,7,3,2,8,4,1,2
4,1,1,4,3,1,1,1,4,7,1,2,3,8,1,1,1,1,7,8,2,8,4,1,8,3
1,1,4,3,4,1,1,4,7,3,2,3,8,1,3,1,1,7,8,4,8,4,1,8,4,8
1,4,3,4,0,1,4,7,3,0,3,8,1,3,0,1,7,8,4,0,4,1,8,4,0,1
4,3,4,0,0,4,7,3,0,0,8,1,3,0,0,7,8,4,0,0,1,8,4,0,0,3
0,0,1,1,1,0,0,1,1,2,0,0,4,1,1,0,0,3,2,8,0,0,1,4,7,1
0,1,1,1,1,0,1,1,2,3,0,4,1,1,1,0,3,2,8,4,0,1,4,7,1,1
1,1,1,1,4,1,1,2,3,8,4,1,1,1,7,3,2,8,4,1,1,4,7,1,2,1
1,1,1,4,7,1,2,3,8,1,1,1,1,7,8,2,8,4,1,8,4,7,1,2,3,1
1,1,4,7,3,2,3,8,1,3,1,1,7,8,4,8,4,1,8,4,7,1,2,3,4,4
1,4,7,3,0,3,8,1,3,0,1,7,8,4,0,4,1,8,4,0,1,2,3,4,0,7
4,7,3,0,0,8,1,3,0,0,7,8,4,0,0,1,8,4,0,0,2,3,4,0,0,3
0,0,1,1,2,0,0,4,1,1,0,0,3,2,8,0,0,1,4,7,0,0,0,0,0,4
0,1,1,2,3,0,4,1,1,1,0,3,2,8,4,0,1,4,7,1,0,0,0,0,0,4
1,1,2,3,8,4,1,1,1,7,3,2,8,4,1,1,4,7,1,2,0,0,0,0,0,1
1,2,3,8,1,1,1,1,7,8,2,8,4,1,8,4,7,1,2,3,0,0,0,0,0,1
2,3,8,1,3,1,1,7,8,4,8,4,1,8,4,7,1,2,3,4,0,0,0,0,0,4
3,8,1,3,0,1,7,8,4,0,4,1,8,4,0,1,2,3,4,0,0,0,0,0,0,3
8,1,3,0,0,7,8,4,0,0,1,8,4,0,0,2,3,4,0,0,0,0,0,0,0,4
0,0,4,1,1,0,0,3,2,8,0,0,1,4,7,0,0,0,0,0,0,0,0,0,0,2
0,4,1,1,1,0,3,2,8,4,0,1,4,7,1,0,0,0,0,0,0,0,0,0,0,8
4,1,1,1,7,3,2,8,4,1,1,4,7,1,2,0,0,0,0,0,0,0,0,0,0,1
1,1,1,7,8,2,8,4,1,8,4,7,1,2,3,0,0,0,0,0,0,0,0,0,0,3
1,1,7,8,4,8,4,1,8,4,7,1,2,3,4,0,0,0,0,0,0,0,0,0,0,2
1,7,8,4,0,4,1,8,4,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,4
7,8,4,0,0,1,8,4,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1
