q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,5,1,0,0,5,2,2,2
0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,5,1,0,0,5,2,2,0,1
0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,5,1,0,0,5,2,2,0,0,5
0,0,0,0,0,0,0,2,2,1,0,0,1,5,1,0,0,5,2,2,0,0,0,0,0,2
0,0,0,0,0,0,2,2,1,0,0,1,5,1,0,0,5,2,2,0,0,0,0,0,0,5
0,0,0,0,0,2,2,1,0,0,1,5,1,0,0,5,2,2,0,0,0,0,0,0,0,2
0,0,2,2,1,0,0,1,5,1,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,1
0,2,2,1,0,0,1,5,1,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,1,5,1,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,6,2,2,0,0,5,5,5,2
0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,6,2,2,0,0,5,5,5,0,6
0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,6,2,2,0,0,5,5,5,0,0,5
0,0,0,0,0,0,0,2,2,5,0,0,6,2,2,0,0,5,5,5,0,0,0,0,0,2
0,0,0,0,0,0,2,2,5,0,0,6,2,2,0,0,5,5,5,0,0,0,0,0,0,2
0,0,0,0,0,2,2,5,0,0,6,2,2,0,0,5,5,5,0,0,0,0,0,0,0,5
0,0,2,2,5,0,0,6,2,2,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,5
0,2,2,5,0,0,6,2,2,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,2
2,2,5,0,0,6,2,2,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,0,0,5,5,8,0,0,5,8,9,9
0,0,0,0,0,0,0,0,0,0,0,9,9,5,0,0,5,5,8,0,0,5,8,9,0,5
0,0,0,0,0,0,0,0,0,0,9,9,5,0,0,5,5,8,0,0,5,8,9,0,0,5
0,0,0,0,0,0,0,9,9,5,0,0,5,5,8,0,0,5,8,9,0,0,0,0,0,9
0,0,0,0,0,0,9,9,5,0,0,5,5,8,0,0,5,8,9,0,0,0,0,0,0,5
0,0,0,0,0,9,9,5,0,0,5,5,8,0,0,5,8,9,0,0,0,0,0,0,0,8
0,0,9,9,5,0,0,5,5,8,0,0,5,8,9,0,0,0,0,0,0,0,0,0,0,5
0,9,9,5,0,0,5,5,8,0,0,5,8,9,0,0,0,0,0,0,0,0,0,0,0,8
9,9,5,0,0,5,5,8,0,0,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,2,1,1,0,0,2,6,2,2
0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,2,1,1,0,0,2,6,2,0,2
0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,2,1,1,0,0,2,6,2,0,0,2
0,0,0,0,0,0,0,2,6,6,0,0,2,1,1,0,0,2,6,2,0,0,0,0,0,6
0,0,0,0,0,0,2,6,6,0,0,2,1,1,0,0,2,6,2,0,0,0,0,0,0,1
0,0,0,0,0,2,6,6,0,0,2,1,1,0,0,2,6,2,0,0,0,0,0,0,0,6
0,0,2,6,6,0,0,2,1,1,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,6
0,2,6,6,0,0,2,1,1,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,1
2,6,6,0,0,2,1,1,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2
