q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,0,0,1,1,7,0,0,7,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,8,8,7,0,1,1,7,7,0,7,1,1,7,8
0,0,0,0,0,0,0,0,0,0,1,8,8,7,7,1,1,7,7,1,7,1,1,7,7,8
0,0,0,0,0,0,0,0,0,0,8,8,7,7,8,1,7,7,1,8,1,1,7,7,8,5
0,0,0,0,0,0,0,0,0,0,8,7,7,8,0,7,7,1,8,0,1,7,7,8,0,5
0,0,0,0,0,0,0,0,0,0,7,7,8,0,0,7,1,8,0,0,7,7,8,0,0,8
0,0,0,0,0,0,0,1,8,8,0,0,1,1,7,0,0,7,1,1,0,0,0,0,0,1
0,0,0,0,0,0,1,8,8,7,0,1,1,7,7,0,7,1,1,7,0,0,0,0,0,1
0,0,0,0,0,1,8,8,7,7,1,1,7,7,1,7,1,1,7,7,0,0,0,0,0,5
0,0,0,0,0,8,8,7,7,8,1,7,7,1,8,1,1,7,7,8,0,0,0,0,0,5
0,0,0,0,0,8,7,7,8,0,7,7,1,8,0,1,7,7,8,0,0,0,0,0,0,1
0,0,0,0,0,7,7,8,0,0,7,1,8,0,0,7,7,8,0,0,0,0,0,0,0,8
0,0,1,8,8,0,0,1,1,7,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,5
0,1,8,8,7,0,1,1,7,7,0,7,1,1,7,0,0,0,0,0,0,0,0,0,0,1
1,8,8,7,7,1,1,7,7,1,7,1,1,7,7,0,0,0,0,0,0,0,0,0,0,1
8,8,7,7,8,1,7,7,1,8,1,1,7,7,8,0,0,0,0,0,0,0,0,0,0,5
8,7,7,8,0,7,7,1,8,0,1,7,7,8,0,0,0,0,0,0,0,0,0,0,0,5
7,7,8,0,0,7,1,8,0,0,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,1,8,1,0,0,7,1,1,5
0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,0,1,8,1,7,0,7,1,1,7,5
0,0,0,0,0,0,0,0,0,0,7,7,7,1,0,1,8,1,7,0,7,1,1,7,0,5
0,0,0,0,0,0,0,0,0,0,7,7,1,0,0,8,1,7,0,0,1,1,7,0,0,1
0,0,0,0,0,0,0,7,7,7,0,0,1,8,1,0,0,7,1,1,0,0,0,0,0,1
0,0,0,0,0,0,7,7,7,1,0,1,8,1,7,0,7,1,1,7,0,0,0,0,0,8
0,0,0,0,0,7,7,7,1,0,1,8,1,7,0,7,1,1,7,0,0,0,0,0,0,1
0,0,0,0,0,7,7,1,0,0,8,1,7,0,0,1,1,7,0,0,0,0,0,0,0,5
0,0,7,7,7,0,0,1,8,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,5
0,7,7,7,1,0,1,8,1,7,0,7,1,1,7,0,0,0,0,0,0,0,0,0,0,1
7,7,7,1,0,1,8,1,7,0,7,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1
7,7,1,0,0,8,1,7,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,7,8,8,0,0,7,1,8,1
0,0,0,0,0,0,0,0,0,0,0,1,8,1,7,0,7,8,8,1,0,7,1,8,8,8
0,0,0,0,0,0,0,0,0,0,1,8,1,7,1,7,8,8,1,1,7,1,8,8,7,1
0,0,0,0,0,0,0,0,0,0,8,1,7,1,0,8,8,1,1,0,1,8,8,7,0,5
0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,8,1,1,0,0,8,8,7,0,0,1
0,0,0,0,0,0,0,1,8,1,0,0,7,8,8,0,0,7,1,8,0,0,0,0,0,5
0,0,0,0,0,0,1,8,1,7,0,7,8,8,1,0,7,1,8,8,0,0,0,0,0,8
0,0,0,0,0,1,8,1,7,1,7,8,8,1,1,7,1,8,8,7,0,0,0,0,0,8
0,0,0,0,0,8,1,7,1,0,8,8,1,1,0,1,8,8,7,0,0,0,0,0,0,1
0,0,0,0,0,1,7,1,0,0,8,1,1,0,0,8,8,7,0,0,0,0,0,0,0,1
0,0,1,8,1,0,0,7,8,8,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,5
0,1,8,1,7,0,7,8,8,1,0,7,1,8,8,0,0,0,0,0,0,0,0,0,0,1
1,8,1,7,1,7,8,8,1,1,7,1,8,8,7,0,0,0,0,0,0,0,0,0,0,8
8,1,7,1,0,8,8,1,1,0,1,8,8,7,0,0,0,0,0,0,0,0,0,0,0,8
1,7,1,0,0,8,1,1,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,5
