q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,6,1,6,0,0,7,2,7,2
0,0,0,0,0,0,0,0,0,0,0,6,6,6,2,0,6,1,6,2,0,7,2,7,2,6
0,0,0,0,0,0,0,0,0,0,6,6,6,2,0,6,1,6,2,0,7,2,7,2,0,6
0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,1,6,2,0,0,2,7,2,0,0,6
0,0,0,0,0,0,0,6,6,6,0,0,6,1,6,0,0,7,2,7,0,0,1,7,2,2
0,0,0,0,0,0,6,6,6,2,0,6,1,6,2,0,7,2,7,2,0,1,7,2,2,6
0,0,0,0,0,6,6,6,2,0,6,1,6,2,0,7,2,7,2,0,1,7,2,2,0,1
0,0,0,0,0,6,6,2,0,0,1,6,2,0,0,2,7,2,0,0,7,2,2,0,0,6
0,0,6,6,6,0,0,6,1,6,0,0,7,2,7,0,0,1,7,2,0,0,0,0,0,2
0,6,6,6,2,0,6,1,6,2,0,7,2,7,2,0,1,7,2,2,0,0,0,0,0,7
6,6,6,2,0,6,1,6,2,0,7,2,7,2,0,1,7,2,2,0,0,0,0,0,0,2
6,6,2,0,0,1,6,2,0,0,2,7,2,0,0,7,2,2,0,0,0,0,0,0,0,7
0,0,6,1,6,0,0,7,2,7,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,2
0,6,1,6,2,0,7,2,7,2,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,2
6,1,6,2,0,7,2,7,2,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,7
1,6,2,0,0,2,7,2,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,6,7,1,0,0,7,7,2,2
0,0,0,0,0,0,0,0,0,0,0,7,7,7,6,0,6,7,1,1,0,7,7,2,1,6
0,0,0,0,0,0,0,0,0,0,7,7,7,6,6,6,7,1,1,7,7,7,2,1,2,6
0,0,0,0,0,0,0,0,0,0,7,7,6,6,6,7,1,1,7,7,7,2,1,2,6,6
0,0,0,0,0,0,0,0,0,0,7,6,6,6,2,1,1,7,7,1,2,1,2,6,6,7
0,0,0,0,0,0,0,0,0,0,6,6,6,2,0,1,7,7,1,0,1,2,6,6,0,7
0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,7,7,1,0,0,2,6,6,0,0,7
0,0,0,0,0,0,0,7,7,7,0,0,6,7,1,0,0,7,7,2,0,0,2,2,7,1
0,0,0,0,0,0,7,7,7,6,0,6,7,1,1,0,7,7,2,1,0,2,2,7,7,7
0,0,0,0,0,7,7,7,6,6,6,7,1,1,7,7,7,2,1,2,2,2,7,7,7,7
0,0,0,0,0,7,7,6,6,6,7,1,1,7,7,7,2,1,2,6,2,7,7,7,2,1
0,0,0,0,0,7,6,6,6,2,1,1,7,7,1,2,1,2,6,6,7,7,7,2,2,1
0,0,0,0,0,6,6,6,2,0,1,7,7,1,0,1,2,6,6,0,7,7,2,2,0,7
0,0,0,0,0,6,6,2,0,0,7,7,1,0,0,2,6,6,0,0,7,2,2,0,0,6
0,0,7,7,7,0,0,6,7,1,0,0,7,7,2,0,0,2,2,7,0,0,7,2,7,6
0,7,7,7,6,0,6,7,1,1,0,7,7,2,1,0,2,2,7,7,0,7,2,7,1,6
7,7,7,6,6,6,7,1,1,7,7,7,2,1,2,2,2,7,7,7,7,2,7,1,2,2
7,7,6,6,6,7,1,1,7,7,7,2,1,2,6,2,7,7,7,2,2,7,1,2,7,1
7,6,6,6,2,1,1,7,7,1,2,1,2,6,6,7,7,7,2,2,7,1,2,7,2,2
6,6,6,2,0,1,7,7,1,0,1,2,6,6,0,7,7,2,2,0,1,2,7,2,0,7
6,6,2,0,0,7,7,1,0,0,2,6,6,0,0,7,2,2,0,0,2,7,2,0,0,7
0,0,6,7,1,0,0,7,7,2,0,0,2,2,7,0,0,7,2,7,0,0,6,6,6,2
0,6,7,1,1,0,7,7,2,1,0,2,2,7,7,0,7,2,7,1,0,6,6,6,2,2
6,7,1,1,7,7,7,2,1,2,2,2,7,7,7,7,2,7,1,2,6,6,6,2,2,7
7,1,1,7,7,7,2,1,2,6,2,7,7,7,2,2,7,1,2,7,6,6,2,2,1,7
1,1,7,7,1,2,1,2,6,6,7,7,7,2,2,7,1,2,7,2,6,2,2,1,1,7
1,7,7,1,0,1,2,6,6,0,7,7,2,2,0,1,2,7,2,0,2,2,1,1,0,2
7,7,1,0,0,2,6,6,0,0,7,2,2,0,0,2,7,2,0,0,2,1,1,0,0,2
0,0,7,7,2,0,0,2,2,7,0,0,7,2,7,0,0,6,6,6,0,0,6,2,6,2
0,7,7,2,1,0,2,2,7,7,0,7,2,7,1,0,6,6,6,2,0,6,2,6,6,7
7,7,2,1,2,2,2,7,7,7,7,2,7,1,2,6,6,6,2,2,6,2,6,6,6,2
7,2,1,2,6,2,7,7,7,2,2,7,1,2,7,6,6,2,2,1,2,6,6,6,6,1
2,1,2,6,6,7,7,7,2,2,7,1,2,7,2,6,2,2,1,1,6,6,6,6,6,7
1,2,6,6,0,7,7,2,2,0,1,2,7,2,0,2,2,1,1,0,6,6,6,6,0,2
2,6,6,0,0,7,2,2,0,0,2,7,2,0,0,2,1,1,0,0,6,6,6,0,0,7
0,0,2,2,7,0,0,7,2,7,0,0,6,6,6,0,0,6,2,6,0,0,0,0,0,1
0,2,2,7,7,0,7,2,7,1,0,6,6,6,2,0,6,2,6,6,0,0,0,0,0,1
2,2,7,7,7,7,2,7,1,2,6,6,6,2,2,6,2,6,6,6,0,0,0,0,0,2
2,7,7,7,2,2,7,1,2,7,6,6,2,2,1,2,6,6,6,6,0,0,0,0,0,2
7,7,7,2,2,7,1,2,7,2,6,2,2,1,1,6,6,6,6,6,0,0,0,0,0,6
7,7,2,2,0,1,2,7,2,0,2,2,1,1,0,6,6,6,6,0,0,0,0,0,0,6
7,2,2,0,0,2,7,2,0,0,2,1,1,0,0,6,6,6,0,0,0,0,0,0,0,6
0,0,7,2,7,0,0,6,6,6,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,6
0,7,2,7,1,0,6,6,6,2,0,6,2,6,6,0,0,0,0,0,0,0,0,0,0,6
7,2,7,1,2,6,6,6,2,2,6,2,6,6,6,0,0,0,0,0,0,0,0,0,0,6
2,7,1,2,7,6,6,2,2,1,2,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6
7,1,2,7,2,6,2,2,1,1,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6
1,2,7,2,0,2,2,1,1,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,2
2,7,2,0,0,2,1,1,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,2,1,7,0,0,2,1,2,1
0,0,0,0,0,0,0,0,0,0,0,1,2,7,1,0,2,1,7,7,0,2,1,2,6,1
0,0,0,0,0,0,0,0,0,0,1,2,7,1,1,2,1,7,7,2,2,1,2,6,2,1
0,0,0,0,0,0,0,0,0,0,2,7,1,1,1,1,7,7,2,6,1,2,6,2,1,7
0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,7,7,2,6,0,2,6,2,1,0,2
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7,2,6,0,0,6,2,1,0,0,1
0,0,0,0,0,0,0,1,2,7,0,0,2,1,7,0,0,2,1,2,0,0,1,2,1,6
0,0,0,0,0,0,1,2,7,1,0,2,1,7,7,0,2,1,2,6,0,1,2,1,7,2
0,0,0,0,0,1,2,7,1,1,2,1,7,7,2,2,1,2,6,2,1,2,1,7,6,7
0,0,0,0,0,2,7,1,1,1,1,7,7,2,6,1,2,6,2,1,2,1,7,6,2,7
0,0,0,0,0,7,1,1,1,0,7,7,2,6,0,2,6,2,1,0,1,7,6,2,0,1
0,0,0,0,0,1,1,1,0,0,7,2,6,0,0,6,2,1,0,0,7,6,2,0,0,2
0,0,1,2,7,0,0,2,1,7,0,0,2,1,2,0,0,1,2,1,0,0,2,7,1,1
0,1,2,7,1,0,2,1,7,7,0,2,1,2,6,0,1,2,1,7,0,2,7,1,2,2
1,2,7,1,1,2,1,7,7,2,2,1,2,6,2,1,2,1,7,6,2,7,1,2,7,6
2,7,1,1,1,1,7,7,2,6,1,2,6,2,1,2,1,7,6,2,7,1,2,7,1,2
7,1,1,1,0,7,7,2,6,0,2,6,2,1,0,1,7,6,2,0,1,2,7,1,0,1
1,1,1,0,0,7,2,6,0,0,6,2,1,0,0,7,6,2,0,0,2,7,1,0,0,2
0,0,2,1,7,0,0,2,1,2,0,0,1,2,1,0,0,2,7,1,0,0,2,1,6,2
0,2,1,7,7,0,2,1,2,6,0,1,2,1,7,0,2,7,1,2,0,2,1,6,2,6
2,1,7,7,2,2,1,2,6,2,1,2,1,7,6,2,7,1,2,7,2,1,6,2,7,7
1,7,7,2,6,1,2,6,2,1,2,1,7,6,2,7,1,2,7,1,1,6,2,7,7,1
7,7,2,6,0,2,6,2,1,0,1,7,6,2,0,1,2,7,1,0,6,2,7,7,0,2
7,2,6,0,0,6,2,1,0,0,7,6,2,0,0,2,7,1,0,0,2,7,7,0,0,1
0,0,2,1,2,0,0,1,2,1,0,0,2,7,1,0,0,2,1,6,0,0,0,0,0,1
0,2,1,2,6,0,1,2,1,7,0,2,7,1,2,0,2,1,6,2,0,0,0,0,0,7
2,1,2,6,2,1,2,1,7,6,2,7,1,2,7,2,1,6,2,7,0,0,0,0,0,2
1,2,6,2,1,2,1,7,6,2,7,1,2,7,1,1,6,2,7,7,0,0,0,0,0,1
2,6,2,1,0,1,7,6,2,0,1,2,7,1,0,6,2,7,7,0,0,0,0,0,0,7
6,2,1,0,0,7,6,2,0,0,2,7,1,0,0,2,7,7,0,0,0,0,0,0,0,2
0,0,1,2,1,0,0,2,7,1,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,7
0,1,2,1,7,0,2,7,1,2,0,2,1,6,2,0,0,0,0,0,0,0,0,0,0,7
1,2,1,7,6,2,7,1,2,7,2,1,6,2,7,0,0,0,0,0,0,0,0,0,0,2
2,1,7,6,2,7,1,2,7,1,1,6,2,7,7,0,0,0,0,0,0,0,0,0,0,6
1,7,6,2,0,1,2,7,1,0,6,2,7,7,0,0,0,0,0,0,0,0,0,0,0,1
7,6,2,0,0,2,7,1,0,0,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2
