q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,output
0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,0,0,5,5,6,0,0,8,5,5,2
0,0,0,0,0,0,0,0,0,0,0,2,7,8,8,0,5,5,6,5,0,8,5,5,5,7
0,0,0,0,0,0,0,0,0,0,2,7,8,8,8,5,5,6,5,4,8,5,5,5,2,5
0,0,0,0,0,0,0,0,0,0,7,8,8,8,0,5,6,5,4,0,5,5,5,2,0,5
0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,6,5,4,0,0,5,5,2,0,0,5
0,0,0,0,0,0,0,2,7,8,0,0,5,5,6,0,0,8,5,5,0,0,8,8,4,8
0,0,0,0,0,0,2,7,8,8,0,5,5,6,5,0,8,5,5,5,0,8,8,4,3,8
0,0,0,0,0,2,7,8,8,8,5,5,6,5,4,8,5,5,5,2,8,8,4,3,6,6
0,0,0,0,0,7,8,8,8,0,5,6,5,4,0,5,5,5,2,0,8,4,3,6,0,8
0,0,0,0,0,8,8,8,0,0,6,5,4,0,0,5,5,2,0,0,4,3,6,0,0,4
0,0,2,7,8,0,0,5,5,6,0,0,8,5,5,0,0,8,8,4,0,0,6,5,1,5
0,2,7,8,8,0,5,5,6,5,0,8,5,5,5,0,8,8,4,3,0,6,5,1,9,8
2,7,8,8,8,5,5,6,5,4,8,5,5,5,2,8,8,4,3,6,6,5,1,9,3,8
7,8,8,8,0,5,6,5,4,0,5,5,5,2,0,8,4,3,6,0,5,1,9,3,0,8
8,8,8,0,0,6,5,4,0,0,5,5,2,0,0,4,3,6,0,0,1,9,3,0,0,2
0,0,5,5,6,0,0,8,5,5,0,0,8,8,4,0,0,6,5,1,0,0,0,0,0,5
0,5,5,6,5,0,8,5,5,5,0,8,8,4,3,0,6,5,1,9,0,0,0,0,0,5
5,5,6,5,4,8,5,5,5,2,8,8,4,3,6,6,5,1,9,3,0,0,0,0,0,4
5,6,5,4,0,5,5,5,2,0,8,4,3,6,0,5,1,9,3,0,0,0,0,0,0,3
6,5,4,0,0,5,5,2,0,0,4,3,6,0,0,1,9,3,0,0,0,0,0,0,0,6
0,0,8,5,5,0,0,8,8,4,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,6
0,8,5,5,5,0,8,8,4,3,0,6,5,1,9,0,0,0,0,0,0,0,0,0,0,8
8,5,5,5,2,8,8,4,3,6,6,5,1,9,3,0,0,0,0,0,0,0,0,0,0,1
5,5,5,2,0,8,4,3,6,0,5,1,9,3,0,0,0,0,0,0,0,0,0,0,0,9
5,5,2,0,0,4,3,6,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,4,5,8,0,0,2,4,9,3
0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,4,5,8,0,0,2,4,9,0,8
0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,4,5,8,0,0,2,4,9,0,0,1
0,0,0,0,0,0,0,3,5,1,0,0,4,5,8,0,0,2,4,9,0,0,0,0,0,4
0,0,0,0,0,0,3,5,1,0,0,4,5,8,0,0,2,4,9,0,0,0,0,0,0,8
0,0,0,0,0,3,5,1,0,0,4,5,8,0,0,2,4,9,0,0,0,0,0,0,0,5
0,0,3,5,1,0,0,4,5,8,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,2
0,3,5,1,0,0,4,5,8,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,0,4
3,5,1,0,0,4,5,8,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,5,7,5,0,0,8,8,2,6
0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,5,7,5,0,0,8,8,2,0,8
0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,5,7,5,0,0,8,8,2,0,0,3
0,0,0,0,0,0,0,6,5,3,0,0,5,7,5,0,0,8,8,2,0,0,0,0,0,8
0,0,0,0,0,0,6,5,3,0,0,5,7,5,0,0,8,8,2,0,0,0,0,0,0,7
0,0,0,0,0,6,5,3,0,0,5,7,5,0,0,8,8,2,0,0,0,0,0,0,0,8
0,0,6,5,3,0,0,5,7,5,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,5
0,6,5,3,0,0,5,7,5,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,5
6,5,3,0,0,5,7,5,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2
